C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='A'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
106 |EM* GGR 8                          |Em*|21 11 19.0666935096 +47 38 47.598624096|     ~   |     ~   |12.5     |     ~   |     ~   |A              |   8|   0
107 |HD 203765                          |*  |21 22 39.6901349208 +48 38 36.389147820|     ~   |9.17     |9.06     |     ~   |     ~   |A              |   3|   0
108 |HD 204003                          |*  |21 24 12.1954229904 +47 12 23.406467328|     ~   |9.02     |8.89     |     ~   |     ~   |A              |   8|   0
109 |HD 204386                          |*  |21 26 43.2697870680 +47 46 36.558330312|     ~   |9.03     |8.98     |     ~   |     ~   |A              |   2|   0
110 |HD 205315                          |*  |21 33 06.6007231080 +48 02 42.088024068|     ~   |8.86     |8.81     |     ~   |     ~   |A              |  15|   0
111 |HD 204322                          |Pu*|21 26 18.7096376352 +47 30 52.019136936|     ~   |8.72     |8.77     |     ~   |     ~   |A              |   4|   0
112 |HD 203662                          |*  |21 22 16.4425329216 +46 52 06.755463444|     ~   |9.50     |9.41     |     ~   |     ~   |A              |   3|   0
113 |V* V537 Cyg                        |SB*|21 34 01.1981737296 +49 55 59.443578336|12.44    |12.48    |11.93    |     ~   |     ~   |A              |  18|   0
114 |NGC 7092 113                       |*  |21 33 00.5985575448 +48 46 19.961539140|     ~   |13.27    |12.76    |     ~   |     ~   |A              |   2|   0
115 |NGC 7092 89                        |*  |21 32 17.0089233144 +48 37 46.220372400|     ~   |12.91    |12.57    |     ~   |     ~   |A              |   2|   0
116 |NGC 7092 121                       |*  |21 33 21.0106692720 +48 38 24.155330244|     ~   |13.35    |13.06    |     ~   |     ~   |A              |   2|   0
117 |NGC 7092 127                       |*  |21 33 27.0800544624 +48 16 44.571730836|     ~   |13.07    |12.55    |     ~   |     ~   |A              |   2|   0
118 |BD+50 3700                         |*  |22 23 53.8385131296 +50 56 13.517508804|     ~   |10.36    |10.38    |     ~   |     ~   |A              |   4|   0
119 |HD 212001                          |Em*|22 20 05.3576793864 +51 45 41.063068332|     ~   |9.17     |9.20     |     ~   |     ~   |A              |   7|   0
120 |HD 210263                          |*  |22 07 51.0320562192 +52 52 08.843873628|     ~   |9.30     |9.11     |     ~   |     ~   |A              |   3|   0
121 |HD 210714                          |SB*|22 11 00.6553993752 +52 24 36.411692472|     ~   |9.38     |9.07     |     ~   |     ~   |A              |  11|   0
122 |HD 210730                          |*  |22 11 03.3162388440 +52 10 53.268305340|     ~   |9.21     |9.13     |     ~   |     ~   |A              |   4|   0
123 |HD 215790                          |EB*|22 46 50.1335396592 +53 50 35.228138028|     ~   |9.09     |9.01     |     ~   |     ~   |A              |   6|   0
124 |HD 218713                          |*  |23 09 27.7146089952 +54 36 03.036115872|     ~   |8.67     |8.60     |     ~   |     ~   |A              |  15|   0
125 |HD 218110                          |*  |23 04 38.5529232240 +53 02 17.127793824|     ~   |9.10     |8.85     |     ~   |     ~   |A              |   3|   0
126 |HD 217113                          |*  |22 57 27.7177111944 +54 03 33.784301052|     ~   |9.20     |9.16     |     ~   |     ~   |A              |   4|   0
127 |HD 217509                          |SB*|23 00 30.4599025944 +52 53 01.572859752|     ~   |9.29     |9.07     |     ~   |     ~   |A              |   8|   0
128 |HD 219359                          |*  |23 14 29.5731623976 +55 25 37.273959300|     ~   |9.21     |9.06     |     ~   |     ~   |A              |   6|   0
