C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='G'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
131 |Cl Trumpler 37 1039                |*  |21 42 02.7832257144 +58 24 43.348990824|     ~   |13.16    |11.80    |     ~   |     ~   |G              |   2|   0
132 |Cl Trumpler 37 1302                |*  |21 41 06.9741069192 +59 07 29.953439292|     ~   |13.08    |11.87    |     ~   |     ~   |G              |   1|   0
133 |Cl Trumpler 37 530                 |*  |21 46 35.4632296440 +57 26 22.829893548|     ~   |12.28    |10.87    |     ~   |     ~   |G              |   2|   0
134 |Cl Trumpler 37 516                 |*  |21 44 50.2140905496 +57 25 49.571222916|     ~   |12.21    |11.60    |     ~   |     ~   |G              |   3|   0
135 |Cl Trumpler 37 517                 |*  |21 44 53.8478058168 +57 28 36.614437284|     ~   |12.8     |     ~   |     ~   |     ~   |G              |   1|   0
136 |Cl Trumpler 37 522                 |*  |21 45 40.1101223616 +57 27 39.601506456|     ~   |12.76    |11.52    |     ~   |     ~   |G              |   2|   0
137 |2MASS J22284738+6112147            |*  |22 28 47.3752341456 +61 12 14.686399224|     ~   |     ~   |     ~   |     ~   |     ~   |G              |   1|   0
138 |BD+60 2425A                        |*  |22 39 45.7807 +61 23 47.663            |     ~   |11.27    |10.68    |     ~   |     ~   |G              |   4|   1
139 |BD+60 2425B                        |*  |22 39 44.4590404512 +61 24 26.140769064|     ~   |10.50    |10.15    |     ~   |     ~   |G              |   3|   0
140 |[PNJ2003] 36                       |PM*|22 51 52.1811411552 +62 38 51.263511000|     ~   |     ~   |15.670   |     ~   |     ~   |G              |   1|   0
141 |[PNJ2003] 56                       |*  |22 51 04.7250144312 +62 49 25.137646068|     ~   |     ~   |16.853   |     ~   |     ~   |G              |   1|   0
142 |[PNJ2003] 38                       |*  |22 52 20.4622120920 +62 38 05.199226692|     ~   |     ~   |14.770   |     ~   |     ~   |G              |   1|   0
143 |[PNJ2003] 40                       |*  |22 50 52.4646657960 +62 52 05.628344736|     ~   |     ~   |16.920   |     ~   |     ~   |G              |   1|   0
144 |[PNJ2003] 76                       |*  |22 50 22.26 +62 25 21.6                |     ~   |     ~   |     ~   |     ~   |     ~   |G              |   1|   0
145 |[D75b] Em* 22-142                  |Em*|22 56 36.5298462144 +62 40 07.807749780|15.721   |     ~   |13.01    |     ~   |11.26    |G              |   7|   0
146 |[BNM2013] 14.03 189                |PM*|22 56 05.0065383456 +62 48 26.993681352|     ~   |     ~   |15.912   |     ~   |     ~   |G              |   2|   0
147 |BD+61 2522                         |PM*|23 46 44.9393338296 +62 35 44.241237708|     ~   |10.49    |9.96     |     ~   |     ~   |G              |   3|   0
148 |BD+60 330                          |Em*|01 45 57.4250970624 +61 16 52.776506604|     ~   |10.77    |10.21    |     ~   |     ~   |G              |  16|   0
149 |Cl* Melotte 20 AP 420              |*  |03 26 02.0433759504 +50 05 34.607927184|     ~   |     ~   |     ~   |18.035   |16.446   |G              |   1|   0
150 |Cl Melotte 20 1036                 |*  |03 33 27.9962723712 +49 11 57.661394496|     ~   |12.35    |11.41    |     ~   |     ~   |G              |   8|   0
151 |TYC 3143-879-1                     |*  |19 34 50.8736374248 +42 42 08.977675428|     ~   |11.75    |10.30    |     ~   |     ~   |G              |   1|   0
152 |BD+44 3193a                        |RG*|19 37 41.8366866960 +44 46 49.091327652|     ~   |11.84    |10.82    |     ~   |     ~   |G              |   7|   0
153 |HD 239547                          |** |21 00 54.5266 +59 29 06.908            |     ~   |10.42    |9.94     |     ~   |     ~   |G              |   4|   0
154 |Cl Trumpler 37 6                   |*  |21 03 10.2190395672 +56 58 38.445155796|     ~   |11.76    |10.59    |     ~   |     ~   |G              |   2|   0
155 |Cl Trumpler 37 282                 |*  |21 10 00.9334659864 +57 25 03.019624932|     ~   |12.02    |11.85    |     ~   |     ~   |G              |   2|   0
156 |Cl Trumpler 37 285                 |*  |21 10 05.7359598240 +57 24 15.930931176|     ~   |12.81    |11.60    |     ~   |     ~   |G              |   2|   0
157 |Cl Trumpler 37 839                 |*  |21 08 00.2171207880 +58 34 12.440004672|     ~   |12.31    |11.81    |     ~   |     ~   |G              |   2|   0
158 |Cl Trumpler 37 280                 |*  |21 09 40.7234817432 +57 31 01.824338136|     ~   |12.61    |11.06    |     ~   |     ~   |G              |   2|   0
159 |Cl Trumpler 37 827                 |*  |21 06 18.1312661880 +58 40 01.390312740|     ~   |12.07    |10.97    |     ~   |     ~   |G              |   1|   0
160 |Cl Trumpler 37 1116                |*  |21 05 25.7367973344 +58 59 15.793148292|     ~   |12.51    |11.07    |     ~   |     ~   |G              |   1|   0
161 |Cl Trumpler 37 544                 |*  |21 01 17.5426665408 +57 54 38.571869340|     ~   |12.36    |11.88    |     ~   |     ~   |G              |   1|   0
162 |Cl Trumpler 37 1091                |*  |21 01 22.5124576512 +59 03 17.239803120|     ~   |12.8     |     ~   |     ~   |     ~   |G              |   1|   0
163 |Cl Trumpler 37 1115                |*  |21 05 16.9600480824 +58 49 23.369217168|     ~   |12.66    |11.66    |     ~   |     ~   |G              |   1|   0
164 |Cl Trumpler 37 603                 |*  |21 14 08.3165871552 +57 54 38.891904444|     ~   |13.1     |     ~   |     ~   |     ~   |G              |   1|   0
165 |Cl Trumpler 37 1139                |*  |21 09 13.2311680488 +59 02 04.950655584|     ~   |12.65    |11.86    |     ~   |     ~   |G              |   2|   0
166 |Cl Trumpler 37 1724                |*  |21 24 59.9709932832 +60 07 43.619192364|     ~   |12.5     |     ~   |     ~   |     ~   |G              |   1|   0
167 |Cl Trumpler 37 1706                |*  |21 23 21.6005952792 +59 57 02.475443916|     ~   |12.23    |10.83    |     ~   |     ~   |G              |   2|   0
168 |Cl Trumpler 37 1631                |*  |21 10 04.6334569488 +60 06 11.713076100|     ~   |13.06    |11.09    |     ~   |     ~   |G              |   2|   0
169 |Cl Trumpler 37 1720                |*  |21 24 34.3690047096 +60 04 20.991897228|     ~   |12.37    |11.24    |     ~   |     ~   |G              |   2|   0
170 |Cl Trumpler 37 1488                |*  |21 26 24.6750788832 +59 17 35.531816820|     ~   |12.9     |     ~   |     ~   |     ~   |G              |   1|   0
171 |Cl Trumpler 37 1659                |*  |21 14 28.9818911304 +59 54 59.803217748|     ~   |12.59    |11.66    |     ~   |     ~   |G              |   2|   0
172 |Cl Trumpler 37 1691                |*  |21 20 18.8181598656 +59 50 59.901486036|     ~   |13.22    |11.84    |     ~   |     ~   |G              |   2|   0
