,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
5256,IRAS 05184+4208,M,05 22 00.6835,+42 11 48.986,--,--,--,11.04,--,8.962379,4.63,3.59,2.976
5257,HS 1445+4519,F,14 46 51.5,+45 06 52,--,--,--,--,--,--,--,--,--
5258,BD+67   857B,G,14 55 39.0727,+66 48 57.282,--,11.8,10.7,--,--,11.86144,11.03,10.843,10.791
5259,HD 283204,G,04 00 37.9307,+27 39 40.232,--,11.68,11.12,--,--,10.932206,9.808,9.512,9.399
5260,HD   8318,F,01 23 18.6332,+43 51 44.488,--,10.75,10.45,--,--,10.392056,9.816,9.672,9.618
5261,BD+65   516,G,06 12 48.1763,+65 47 16.528,--,10.29,9.03,--,--,8.69199,6.935,6.364,6.249
5262,EM* UHA    3,B,20 41 26.3609,+46 16 58.839,--,12.5,12.5,--,--,12.298681,11.461,11.33,11.303
5263,HD 173665,K,18 44 09.5933,+46 06 51.366,--,--,--,8.2,--,8.367245,7.123,6.786,6.724
5264,2MASSs J0258523+195840,M,02 58 52.39,+19 58 40.0,--,--,--,--,--,--,--,--,--
5265,S1* 268,M,07 51 39.3489,-25 07 59.700,--,--,--,--,--,10.226674,6.345,5.336,4.905
5266,HD 203318,K,21 17 54.8398,+68 33 56.077,--,9.48,8.44,--,--,8.171391,6.654,6.192,6.087
5267,HD 102252,K,11 46 22.1300,+54 26 59.781,--,10.36,8.78,--,--,8.18686,6.016,5.181,4.997
5268,HD 130406,A,14 46 40.4742,+45 22 44.173,--,11.06,10.77,--,--,10.715948,10.32,10.26,10.217
5269,BD+53  1561,K,12 37 26.9390,+52 20 57.054,--,11.67,10.34,--,--,9.908854,7.953,7.243,7.029
5270,IRAS 14402-3645,O,14 43 19.0012,-36 58 08.162,--,--,11.37,--,--,12.126147,6.025,5.119,4.421
5271,Cl Trumpler   37  1590,F,21 47 55.9403,+59 28 45.085,--,11.9,11.61,--,--,11.648089,10.525,10.218,10.175
5272,Cl Trumpler   37   597,F,21 12 28.9021,+57 57 40.532,--,12.49,12.04,--,--,12.201856,11.07,10.788,10.556
5273,LS   V +56   34,B,02 21 34.1244,+56 54 47.442,--,10.89,10.6961,--,10.378,10.692234,10.176,10.077,10.103
5274,IRAS 16491-4336,O,16 52 41.5660,-43 41 18.200,--,--,--,--,--,--,--,--,12.88
5275,HD 280324,A,04 59 19.9002,+35 09 03.731,--,11.99,10.88,--,--,10.583479,8.481,7.945,7.72
5276,V* CX Cyg,M,20 10 43.5418,+49 49 57.141,--,--,--,--,--,12.621434,10.109,9.29,9.066
5277,Cl Trumpler   37   395,F,21 30 09.56,+57 35 49.6,--,12.7,--,--,--,--,--,--,--
5278,HD 286205,A,05 00 07.8810,+18 53 40.654,--,12.31,11.29,--,--,11.585763,10.644,10.479,10.386
5279,LS III +58   22,B,22 18 30.5415,+59 05 37.830,--,12.51,11.69,--,--,11.374448,10.03,9.774,9.684
5280,HD 235034,G,19 53 52.7673,+50 53 20.631,--,11.02,10.43,--,--,10.375134,9.48,9.246,9.179
5281,BD+58  1613,K,16 05 25.6248,+58 06 55.781,--,11.0,10.57,--,--,10.342774,9.489,9.276,9.185
5282,BD+60  1412,K,12 38 46.5194,+59 30 48.799,--,--,--,10.4,--,10.614325,9.309,8.82,8.717
5283,TYC 3672-782-1,A,00 57 45.2114,+55 25 33.042,--,10.98,10.64,--,--,10.466086,9.806,9.696,9.638
5284,IRAS 17108-3729,O,17 14 14.8705,-37 32 58.598,--,--,--,--,--,14.761738,7.831,6.19,5.224
5285,HD 275204,G,03 20 40.6420,+39 22 04.733,--,11.52,10.41,--,--,10.090957,8.299,7.735,7.62
5286,HD 150779,K,16 40 53.8657,+48 00 55.740,--,10.17,9.17,--,--,8.94281,7.457,6.98,6.876
5287,HD  90760,F,10 29 27.0110,+36 43 52.145,--,9.84,9.53,--,--,9.459188,8.805,8.712,8.67
5288,BD+63   282,A,02 05 07.8293,+64 30 10.950,--,10.25,10.03,--,--,9.982532,9.498,9.44,9.376
5289,HD 279639,A,04 18 03.3705,+38 57 46.820,--,11.6,11.06,--,--,11.068028,10.072,9.953,9.89
5290,HD 203920,A,21 24 02.2012,+39 09 33.638,--,8.95,8.93,--,--,8.925973,8.795,8.83,8.837
5291,[D75b] Star 28,M,04 59 15.2515,+47 36 01.161,--,15.9,--,--,--,10.961254,6.999,5.948,5.55
5292,IRAS 17245-3616,O,17 27 48.9256,-36 18 46.976,--,--,--,--,--,--,12.481,9.245,7.335
5293,IRAS 17081-3520,O,17 11 26.8117,-35 23 52.937,--,--,--,--,--,10.93068,5.173,3.63,2.99
5294,EM* AS    7,B,00 46 56.4470,+65 20 23.748,--,11.35,10.87,--,--,10.534315,9.189,8.954,8.818
5295,BD+43  3928,K,21 26 45.4255,+43 43 50.975,--,9.84,9.76,--,--,9.826128,9.717,9.733,9.72
5296,LS III +54   17,B,22 08 01.5054,+55 01 56.629,--,12.52,13.0,--,--,12.467816,11.894,11.806,11.767
5297,HD  35119,A,05 25 06.1507,+50 22 21.867,--,9.68,9.37,--,--,9.278669,8.597,8.461,8.411
5298,IRAS 17266-3540,O,17 30 02.4979,-35 42 52.599,--,--,--,--,--,19.548887,10.776,8.374,6.898
5299,BD+01  2182,F,08 51 01.1910,+00 29 30.121,--,10.75,10.39,--,--,10.194002,9.513,9.316,9.294
5300,USNO-B1.0 1401-00261317,G,14 28 54.7768,+50 07 43.527,--,17.5,--,17.1,--,17.1353,15.83,15.48,15.02
5301,EIS-DEEP CDFS-1 J 1 1266,K,03 32 15.160,-27 47 54.31,--,24.8995,--,--,23.106,--,22.8338,22.65,21.317
5302,HD 158192,G,17 25 44.9139,+45 22 41.871,--,10.82,10.44,--,--,10.259554,9.43,9.238,9.201
5303,IRAS 17219-3654,O,17 25 23.0494,-36 57 02.839,--,--,--,--,--,17.883215,8.951,6.535,5.244
5304,HD  36072,F,05 29 51.2083,+18 25 50.678,--,8.64,8.17,--,--,8.082674,7.202,7.041,6.969
5305,BTC40 J1213-2022,M,12 13 14.8,-20 22 28,--,--,--,--,--,--,--,--,--
5306,Cl Trumpler   37  1835,F,21 06 10.9057,+60 30 53.748,--,12.63,11.54,--,--,11.61888,10.028,9.707,9.628
5307,LS   V +46   10,B,04 14 12.648,+47 04 00.16,--,12.05,11.61,--,--,--,10.123,9.976,9.889
5308,HD  30735,A,04 54 40.2533,+64 40 29.646,--,9.91,9.61,--,--,9.60647,9.08,8.957,8.931
5309,HD 108261,K,12 25 55.8959,+61 38 22.835,--,10.42,9.35,--,--,9.052441,7.468,6.898,6.795
5310,IRAS 16181-2536,M,16 21 14.0,-25 43 06,--,16.6,14.8,--,--,--,--,--,--
5311,AG+08 1031,F,07 43 40.5857,+08 16 32.669,--,11.873,11.342,11.279,--,11.26197,10.447,10.266,10.172
5312,Cl Trumpler   37  1688,K,21 19 39.7525,+59 44 57.595,--,12.65,11.55,--,--,11.074146,9.051,8.448,--
5313,TYC 4188-2-1,G,15 50 03.0838,+67 24 32.845,--,12.5,11.79,--,--,11.662039,10.811,10.567,10.505
5314,HD  80260,G,09 22 14.5794,+67 10 51.292,--,9.79,9.32,--,--,9.198274,8.333,8.106,8.073
5315,CLS  33B,M,11 01 29.6544,+31 18 42.686,--,--,--,--,--,16.723036,14.404,13.729,13.493
5316,IRAS 17233-3342,O,17 26 36.0206,-33 45 30.362,--,--,--,--,--,--,13.499,10.349,8.19
5317,BD+58  2236,B,21 12 09.6244,+58 53 36.817,--,9.4,9.21,--,--,9.242621,8.691,8.636,8.535
5318,HD 291766,K,06 29 27.3673,-01 32 47.199,--,11.59,10.69,--,--,10.61807,9.367,8.92,8.841
5319,HD 202861,K,21 17 10.6194,+46 31 43.772,--,9.96,9.02,--,--,8.786215,7.321,6.864,6.802
5320,Cl Melotte   20  1036,G,03 33 27.9962,+49 11 57.661,--,12.35,11.41,--,--,11.148844,9.899,9.59,9.475
5321,HD 347425,M,20 44 25.3672,+21 57 49.099,--,12.76,11.01,--,--,10.618782,8.648,7.957,7.806
5322,CHSS  581,F,09 08 43.2,+29 00 12,--,--,13.36,--,--,--,--,--,--
5323,BD+61  1827,F,19 11 59.0449,+62 04 45.984,--,10.24,9.71,--,--,9.545258,8.539,8.215,8.164
5324,LS   I +55   41,B,02 50 46.3765,+55 37 44.895,11.49,11.78,11.11,--,--,10.928283,9.728,9.591,9.528
5325,HD 278760,A,03 32 18.3479,+33 34 47.396,--,11.65,11.13,--,--,11.054297,10.039,9.934,9.786
5326,HD 290512,F,05 30 42.6899,-01 01 22.526,--,11.58,11.19,--,--,11.240621,10.474,10.28,10.268
5327,BD+61  1864,F,19 26 42.9287,+61 29 28.383,--,10.73,10.32,--,--,10.209104,9.536,9.38,9.321
5328,HD 284607,A,04 39 07.3699,+21 19 27.882,--,10.0,--,--,--,11.270133,10.253,10.074,10.003
5329,V* V1481 Oph,M,17 09 37.5409,-20 01 00.901,--,--,--,--,--,12.631609,9.782,8.93,8.566
5330,BD+45  3348,B,20 57 57.7332,+45 44 45.682,--,10.39,10.28,--,--,10.293782,9.795,9.762,9.761
5331,BD+56  1669,K,13 37 59.9484,+55 48 24.646,--,11.7,11.04,--,--,11.01647,10.052,9.829,9.749
5332,HD 206097,A,21 37 08.8156,+63 58 53.807,--,9.06,9.0,--,--,8.948081,8.739,8.747,8.748
5333,IRAS 21246+5409,M,21 26 16.7157,+54 22 21.994,--,14.82,12.49,11.94,--,10.323204,6.493,5.4,5.007
5334,HD 296667,F,07 14 42.1993,-02 56 06.164,--,11.43,11.24,--,--,11.355182,11.224,11.247,11.244
5335,HD 152774,G,16 52 48.1047,+49 51 06.193,--,9.88,9.19,--,--,9.033437,7.927,7.63,7.571
5336,IRAS 16581-4058,O,17 01 37.0807,-41 03 01.641,--,--,--,--,--,15.288631,9.365,6.624,4.774
5337,[IG95]  88-10,M,18 52 00.7352,-29 54 13.610,--,17.55,--,15.02,--,14.964848,12.085,11.161,10.842
5338,V* V623 Sco,O,17 14 44.8707,-39 35 08.144,--,--,--,--,--,10.715397,5.533,4.246,3.663
5339,HD 286213,A,04 57 36.2841,+17 55 52.781,--,10.0,--,--,--,11.506208,10.591,10.498,10.378
5340,EM* GGA   43,B,01 27 02.2230,+63 02 23.473,--,--,12.7,12.45,--,12.328134,10.993,10.71,10.47
5341,CLS  68,M,13 15 47.8382,+29 57 38.170,--,16.75,15.49,14.97,--,14.5251,11.983,11.36,11.158
5342,IRAS 17100-3622,O,17 13 26.2792,-36 26 06.010,--,--,--,--,--,13.865206,6.859,5.051,4.2
5343,BD+07  4165,M,19 38 48.9740,+07 40 49.204,--,11.88,10.43,--,--,9.685909,7.235,6.438,6.205
5344,HD   9087,A,01 30 34.4743,+53 38 53.328,--,9.53,9.18,--,--,9.136878,8.419,8.325,8.271
5345,BD+79    60,K,02 05 55.0844,+79 58 53.271,--,11.23,9.6,--,--,9.083329,6.941,6.287,6.053
5346,V* S Cae,K,04 56 56.4789,-33 08 00.072,--,11.16,10.71,--,--,10.771911,9.851,9.698,9.643
5347,LS III +48   43,B,21 45 10.1193,+48 16 39.238,--,11.2,10.98,--,--,11.003708,10.513,10.519,10.51
5348,HD 325010,M,18 08 04.5210,-40 06 13.778,--,10.91,9.72,--,--,9.325553,7.588,6.998,6.844
5349,IRAS 17498-3542,O,17 53 13.5343,-35 43 33.311,--,--,--,--,--,10.065462,5.389,4.158,3.771
5350,IRAS 17210-3946,O,17 24 30.4564,-39 49 27.393,--,--,--,--,--,--,--,--,12.297
5351,HD  97988,G,11 17 02.6194,+63 15 31.687,--,9.74,9.02,--,--,8.827184,7.559,7.148,7.067
5352,2MASS J18524979-3017371,M,18 52 49.7971,-30 17 37.202,--,17.57,--,15.1,--,15.148945,12.528,11.646,11.398
5353,IRAS 17165-3812,O,17 19 57.7733,-38 15 36.014,--,--,--,--,--,13.60158,7.188,5.589,4.673
5354,TYC 3667-593-1,G,00 51 15.7933,+59 50 18.930,--,11.68,11.35,--,--,11.151305,10.244,10.063,10.015
5355,LS   I +57  136,B,03 56 40.9242,+57 15 28.651,12.191,11.24,10.88,--,--,10.735113,10.111,10.081,10.037
5356,BD-10   204,F,00 59 00.0882,-09 20 12.636,--,10.75,10.48,--,--,10.499752,10.021,9.929,9.87
5357,BD+61  2038,G,20 36 30.8877,+62 27 12.482,--,10.87,9.32,--,--,8.553014,6.05,5.193,4.999
5358,HD 281947,G,04 22 29.79,+33 35 00.9,--,10.0,--,--,--,--,--,--,--
5359,WEL M26,M,02 39 30.3259,-34 48 02.713,--,--,19.09,--,--,17.905487,15.036,14.494,14.092
5360,LBQS 0005+0156,F,00 07 35.4436,+02 13 09.221,--,18.0,--,18.3,--,18.700672,--,--,--
5361,NAME GM 1-24 IRS 16,M,17 17 00.96,-36 20 56.7,--,--,--,--,--,--,--,12.69,11.88
5362,HD  28112,A,04 29 21.1930,+58 31 37.556,--,8.77,8.65,--,--,8.633829,8.326,8.285,8.294
5363,HS 1225+4750,F,12 28 05.9,+47 34 02,--,--,--,--,--,--,--,--,--
5364,TYC 3290-1500-1,K,01 30 25.6397,+51 09 51.429,--,11.67,10.53,--,--,10.100194,8.27,7.732,7.588
5365,CHSS  730,F,10 07 31.1108,+29 15 22.690,--,--,15.62,--,--,15.551062,14.735,14.491,14.522
5366,HD 101548,G,11 41 25.7983,+58 55 25.974,--,10.69,--,8.5,--,8.743404,7.775,7.509,7.458
5367,LS III +70    1,B,23 13 11.5089,+70 18 09.343,--,11.75,11.45,--,--,11.22797,10.318,10.156,10.095
5368,HD 275724,G,03 43 53.4026,+39 59 38.496,--,11.83,11.56,--,--,11.271979,10.199,9.881,9.819
5369,HD 114955,A,13 10 45.1645,+77 39 13.838,--,9.6,9.48,--,--,9.487215,9.282,9.269,9.275
5370,BD-22   388,M,02 18 48.0143,-21 54 35.792,--,11.05,9.69,--,--,9.273832,7.332,6.635,6.452
5371,HD 131021,G,14 49 55.3578,+42 27 48.195,--,10.41,10.04,--,--,9.940134,9.2,9.044,8.993
5372,IRAS 17403-3704,O,17 43 47.8181,-37 05 59.606,--,--,--,--,--,17.28,9.742,7.938,6.474
5373,HD   9016,A,01 29 54.0611,+53 21 15.145,--,9.07,8.65,--,--,8.532705,7.672,7.541,7.463
5374,LS III +52   44,B,23 38 03.4565,+52 24 47.064,--,11.62,11.31,--,--,11.20806,10.489,10.377,10.311
5375,IRAS 16486-3014,O,16 51 49.6659,-30 19 51.073,--,--,--,--,--,13.472695,5.128,3.845,3.222
5376,HD 279346,A,04 05 16.9745,+36 36 20.052,--,11.75,11.25,--,--,11.434488,10.676,10.595,10.492
5377,HD 195746,A,20 31 33.5648,+42 12 14.072,--,8.53,8.56,--,--,8.57106,8.579,8.637,8.651
5378,BD-14  5476,M,19 37 29.2900,-14 28 17.031,--,11.325,10.244,--,--,9.858047,8.145,7.541,7.469
5379,HD 196847,A,20 35 17.1419,+70 30 23.115,--,9.73,9.44,--,--,9.675154,8.756,8.674,8.62
5380,BD+63  1507,K,19 16 34.0971,+63 26 04.105,--,11.0,9.8,--,--,9.493979,7.888,7.39,7.279
5381,HD 275142,F,03 15 37.0561,+37 33 32.900,--,12.19,11.37,11.0,--,11.342127,10.099,9.776,9.718
5382,IRAS 03156+5828,O,03 19 37.6327,+58 39 46.791,--,--,--,--,--,14.624359,9.643,7.442,5.812
5383,SBSS 0811+582,B,08 15 47.0101,+58 03 35.223,--,17.6,--,16.7,--,17.167677,16.08,15.925,15.73
5384,HD 285191,K,05 03 24.8353,+21 16 21.238,--,12.19,10.97,--,--,10.303919,7.935,7.144,6.955
5385,IRAS 17187-3750,O,17 22 10.4342,-37 53 11.507,--,--,--,13.35,9.01,9.931467,3.668,2.136,1.355
5386,Cl* NGC 2168     SB     706,M,06 09 03.5253,+24 17 23.471,--,17.01,15.95,15.5444,--,15.553308,13.795,13.273,13.074
5387,BD+62  1695,K,19 13 11.9983,+63 12 02.398,--,11.14,10.12,--,--,9.900789,8.45,8.015,7.925
5388,Cl Bochum   15    15,O,07 32 23.4136,-33 40 09.572,--,12.58,12.45,--,--,12.548889,12.296,12.287,12.274
5389,BD+44  1402A,M,06 15 06.9967,+44 09 35.792,--,11.3,9.4,--,--,9.779146,8.0,7.412,7.279
5390,CSO  724,G,15 07 56.1422,+49 25 45.907,--,17.1,--,16.15,--,16.115847,15.24,14.94,14.85
5391,BD+51  3511,K,22 57 44.5962,+52 29 13.875,--,12.41,10.6,--,--,10.097971,7.947,7.229,7.076
5392,V* KP Del,M,20 45 10.1742,+18 17 35.343,--,10.12,8.43,--,--,7.241887,4.825,3.732,3.216
5393,HD 236143,K,23 30 20.5855,+52 39 27.838,--,11.88,10.37,--,--,9.720201,7.3,6.485,6.245
5394,Cl Trumpler   37   827,G,21 06 18.1312,+58 40 01.390,--,12.07,10.97,--,--,10.431162,8.421,7.731,7.59
5395,2MASS J18523752-2952046,M,18 52 37.5286,-29 52 04.659,--,16.76,--,14.6,--,14.928165,12.223,11.369,11.075
5396,HD 151809,A,16 46 32.4011,+56 22 36.464,--,9.32,9.47,--,--,9.464788,9.851,9.915,10.007
5397,HD  21355,A,03 29 55.0884,+61 40 09.929,--,9.53,9.45,--,--,9.376006,9.061,9.093,9.042
5398,TYC 4510-620-1,K,04 01 28.6889,+76 35 26.027,--,11.67,10.47,--,--,10.1457,8.182,7.501,7.378
5399,IRAS 17543-3102,O,17 57 33.6345,-31 03 03.526,--,--,--,13.686,--,14.840404,11.898,11.017,10.674
5400,CHSS  505,F,08 37 29.7006,+28 56 41.398,--,--,12.7,--,--,12.640976,11.884,11.651,11.62
5401,HD  23153,A,03 45 50.8136,+57 34 12.909,--,9.59,9.4,--,--,9.295251,8.759,8.708,8.695
5402,SBSS 1629+590,B,16 30 29.7139,+58 58 05.878,--,17.5,--,17.1,--,17.269838,--,--,--
5403,HD 201445,A,21 08 21.8476,+38 29 07.657,--,9.41,9.23,--,--,9.210838,8.82,8.798,8.767
5404,CHSS  541,F,08 54 44.0594,+29 23 00.678,--,--,13.34,--,--,13.4516,12.418,12.204,12.132
5405,UCAC4 321-086104,M,16 29 15.6772,-25 52 06.331,--,--,--,16.29,--,16.036583,13.845,13.277,13.108
5406,HD 279114,A,03 53 12.0334,+34 13 06.897,--,12.14,11.49,--,--,11.498227,10.41,10.272,10.183
5407,GSC 03615-00418,B,22 28 26.1043,+50 20 46.696,--,--,12.8,--,--,12.67774,11.949,11.819,11.762
5408,HD  23093,F,03 43 10.9956,+21 58 07.674,--,10.23,9.85,--,--,9.75545,8.946,8.823,8.745
5409,HD   7810,A,01 18 57.1156,+55 33 24.285,--,9.17,9.1,--,--,9.094097,8.823,8.801,8.76
5410,IRAS 16444-3725,O,16 47 48.7705,-37 30 33.291,--,--,--,--,--,10.592086,5.087,3.866,3.435
5411,HD 109166,K,12 32 11.8016,+61 12 50.078,--,10.15,8.86,--,--,8.447029,6.582,5.935,5.773
5412,HD   7612,A,01 17 14.4664,+57 05 55.389,--,8.51,8.47,--,--,8.431803,8.267,8.207,8.218
5413,Cl Trumpler   37     6,G,21 03 10.2190,+56 58 38.445,--,11.76,10.59,--,--,10.004404,7.951,7.409,7.215
5414,LS III +59   37,B,23 01 28.7586,+59 44 00.906,11.8,12.09,11.32,--,--,11.053722,9.555,9.34,9.22
5415,HD 280221,K,04 52 43.8407,+34 25 02.677,--,12.41,10.4,--,--,9.672334,7.168,6.482,6.247
5416,CHSS   65,F,10 53 06.5706,+29 11 30.197,--,--,13.66,--,--,13.515906,12.623,12.376,12.317
5417,AG+64  687,G,14 29 13.1483,+64 40 44.130,--,11.8,10.7,--,--,11.805652,10.973,10.724,10.691
5418,HD 275769,F,03 43 52.5489,+37 26 30.549,--,12.34,11.63,--,--,11.418999,10.22,10.0,9.894
5419,HD 282717,A,05 01 50.1596,+31 06 32.890,--,11.49,11.1,--,--,10.904901,9.924,9.778,9.697
5420,IRAS 17175-3635,O,17 20 58.9117,-36 38 39.275,--,--,--,--,--,20.552374,12.057,8.964,7.124
5421,2MASS J22525012+6227336,K,22 52 50.1205,+62 27 33.593,18.74,--,15.54,--,13.59,14.795354,11.851,10.802,9.799
5422,IRAS 17327-3703,O,17 36 11.1343,-37 05 11.790,--,--,--,--,--,10.277936,4.29,3.056,2.54
5423,HD 280065,A,04 39 34.1423,+35 29 04.847,--,12.1,11.38,--,--,11.183571,9.73,9.318,9.221
5424,LS III +46   49,B,21 11 29.1869,+46 48 40.172,--,12.36,12.58,--,--,11.977198,11.097,10.885,10.785
5425,[PNJ2003]  36,G,22 51 52.1811,+62 38 51.263,--,--,15.67,--,--,14.743609,12.063,11.416,11.168
5426,HD 280312,F,04 58 24.3389,+36 17 02.472,--,11.64,11.41,--,--,11.154122,10.229,10.13,10.063
5427,OH 000.13+00.10,O,17 45 31.4450,-28 46 22.080,--,--,--,--,--,--,15.031,11.179,8.956
5428,BD+54  1399,G,10 50 56.6240,+53 14 51.193,--,--,--,10.2,--,10.174996,9.137,8.82,8.752
5429,HD  49400,G,06 50 36.0154,+45 41 11.686,--,10.69,10.37,--,--,10.205838,9.486,9.347,9.264
5430,BD+65  1304,K,18 53 15.8487,+65 12 10.901,--,10.56,9.65,--,--,9.382925,7.934,7.417,7.334
5431,2MASSs J0252368+193424,M,02 52 36.80,+19 34 24.2,--,--,--,--,--,--,--,--,--
5432,GSC 03633-01257,B,22 42 03.2265,+50 48 36.834,--,--,12.2,--,--,11.951075,10.996,10.766,10.714
5433,TYC 4647-2082-1,K,17 07 17.4124,+83 25 46.775,--,11.67,11.09,--,--,10.899368,9.803,9.458,9.41
5434,HD 214280,A,22 36 18.9396,+46 02 43.064,--,10.95,10.58,--,--,10.686919,10.098,10.034,9.981
5435,IRAS 17431-3654,O,17 46 31.2369,-36 55 48.591,--,--,19.609,--,15.26,16.509106,10.92,8.636,6.978
5436,HD 284207,K,04 09 58.0332,+21 07 57.453,--,12.02,11.03,--,--,10.810084,9.388,8.936,8.778
5437,HS 1306+4614,F,13 08 20.7036,+45 58 55.181,--,--,--,--,--,17.586533,16.614,15.997,15.877
5438,IRAS 17427-3609,O,17 46 10.6863,-36 10 51.726,--,--,--,--,16.96,18.632605,10.876,8.764,7.341
5439,HD 282925,F,03 45 55.7291,+27 49 01.161,--,11.37,11.08,--,--,10.834784,9.992,9.752,9.721
5440,Cl Bochum   15    26,O,07 39 21.8571,-33 38 19.906,--,13.41,13.09,--,--,13.015391,12.591,12.539,12.424
5441,IRAS 17154-4145,O,17 19 01.0993,-41 48 17.942,--,--,--,--,--,10.249796,4.23,3.0,2.402
5442,CHSS  669,F,09 36 13.6469,+29 25 41.573,--,--,13.3,--,--,13.206665,12.385,12.19,12.133
5443,LS III +59   33,B,23 00 00.5297,+59 19 18.602,10.45,10.8,10.4,--,--,10.104264,8.862,8.625,8.383
5444,BD+04  4035,M,19 14 56.2516,+05 07 45.602,--,11.73,10.31,--,--,9.755502,7.548,6.918,6.719
5445,OH 359.36+00.08,O,17 43 45.4802,-29 26 19.276,--,--,--,--,--,--,--,13.192,11.391
5446,LS   V +54    5,B,02 45 47.7130,+54 32 41.068,--,11.28,10.88,--,--,10.92221,10.28,10.222,10.196
5447,HD 213834,A,22 33 33.0228,+44 48 07.873,--,10.97,10.93,--,--,10.853044,10.476,10.453,10.409
5448,HD  11282,A,01 52 12.1025,+53 25 27.892,--,10.19,9.8,--,--,9.740647,9.004,8.832,8.802
5449,HD 156375,F,17 07 55.7477,+76 45 10.364,--,9.02,8.75,--,--,8.692604,8.171,8.066,8.073
5450,LS   V +48   13,B,04 17 05.4401,+48 35 05.124,--,12.67,11.81,--,--,11.273513,9.715,9.517,9.371
5451,IRAS 17174-3331,O,17 20 42.7406,-33 34 49.656,--,--,--,--,--,--,14.648,10.768,8.373
5452,IRAS 17390-3655,O,17 42 26.6537,-36 56 23.505,--,--,--,--,--,16.842491,11.453,9.609,8.27
5453,WEL M25,M,02 39 22.6066,-34 43 10.267,--,--,16.61,--,--,15.93432,13.272,12.706,12.453
5454,Cl Trumpler   37  1488,G,21 26 24.6750,+59 17 35.531,--,12.9,--,--,--,12.020995,10.748,10.425,10.32
5455,BD+82   575,K,18 57 04.9373,+82 16 30.740,--,11.94,10.81,--,--,10.290884,8.492,7.907,7.731
5456,HD 358587,M,20 58 12.2192,-15 44 03.391,--,11.94,10.54,--,--,10.098247,8.158,7.507,7.332
5457,EM* VES  853,B,04 57 54.9200,+47 39 42.266,--,12.13,12.13,--,--,12.033023,11.087,10.951,10.76
5458,CD-31  2812,M,05 53 43.1974,-31 28 51.139,--,11.659,10.288,9.986,--,8.072717,4.709,3.684,3.404
5459,HD  35420,A,05 43 43.7061,+83 25 26.876,--,9.74,9.35,--,--,9.327276,8.723,8.622,8.572
5460,HD 212070,A,22 20 20.7126,+56 06 41.623,--,9.39,9.26,--,--,9.218452,8.797,8.717,8.706
5461,LS III +57   75,B,22 46 33.2605,+57 47 50.287,--,10.62,10.28,--,--,10.178346,9.318,9.203,9.143
5462,HD  30659,A,04 52 55.1157,+56 50 51.085,--,9.66,9.23,--,--,9.141256,8.333,8.19,8.158
5463,HD  70419,F,08 25 02.4608,+59 35 09.323,--,9.74,9.43,--,--,9.353384,8.722,8.584,8.524
5464,BD+53  1382,F,10 03 39.9951,+52 48 27.827,--,11.6,10.98,--,--,10.793191,9.775,9.465,9.415
5465,HD 282025,G,04 23 47.2501,+30 38 48.146,--,12.18,11.54,--,--,11.210951,9.876,9.605,9.493
5466,TYC 4047-989-1,B,02 42 44.2024,+61 37 39.849,--,12.91,12.56,--,--,12.527074,11.253,11.075,11.006
5467,HD 276863,A,04 50 13.7759,+42 08 50.002,--,11.6,11.45,--,--,11.274892,10.636,10.569,10.529
5468,IRAS 17118-2952,O,17 15 05.1484,-29 56 14.816,--,--,--,--,--,--,--,13.718,9.993
5469,HD  42557,G,06 17 55.0813,+70 58 53.614,--,9.55,9.04,--,--,8.944688,8.102,7.812,7.779
5470,HD 208564,A,21 56 03.4361,+43 19 21.813,--,9.05,8.99,--,--,8.943987,8.754,8.817,8.79
5471,HD 284843,A,04 45 37.3180,+19 14 25.234,13.785,11.332,10.804,10.749,--,10.688874,9.669,9.53,9.453
5472,BD+45  1846,K,10 36 58.6451,+44 44 37.683,--,12.7,10.9,--,--,10.633175,9.041,8.494,8.299
5473,Cl Trumpler   37    41,F,21 11 04.9772,+56 56 40.373,--,13.1,--,--,--,12.174203,10.933,10.616,10.542
5474,HD  42157,K,06 10 39.5111,+31 57 33.877,--,8.82,7.72,--,--,7.39904,5.741,5.272,5.083
5475,BD+00  1498,K,06 36 03.7205,+00 44 40.350,--,12.07,10.16,--,--,9.683614,7.301,6.507,6.271
5476,HD 189547,A,19 52 42.9498,+77 00 56.893,--,10.81,10.48,--,--,10.345483,9.62,9.522,9.481
5477,HD 219488,F,23 15 56.8147,+12 44 31.963,--,9.66,9.31,--,--,9.28097,8.607,8.467,8.448
5478,LS III +51    4,B,20 38 08.5801,+52 07 12.630,--,12.29,11.56,--,--,11.554302,10.606,10.342,10.342
5479,HD 276033,F,04 00 09.3435,+38 56 09.349,13.48,11.62,10.88,--,--,10.562204,9.347,9.055,8.972
5480,LS   V +53   15,B,03 59 12.2187,+53 59 00.387,--,12.8,--,--,--,10.847599,8.579,8.208,7.96
5481,HD 287434,F,05 00 34.7692,+10 48 49.598,--,12.14,11.54,11.57,--,11.451785,10.656,10.5,10.45
5482,TYC 4601-1996-1,K,22 48 11.2851,+76 28 16.385,--,12.5,11.0,--,--,10.674775,8.902,8.331,8.212
5483,IRAS 17116-3729,O,17 15 04.8200,-37 33 07.081,--,--,--,--,--,16.58892,8.725,6.539,5.511
