C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:14

sptype='B'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
113 |BD+46 3348                         |*  |21 31 06.3890731704 +47 21 59.762188044|10.34    |10.24    |9.91     |     ~   |     ~   |B              |   6|   0
114 |EM* GGR 21                         |Em*|21 26 01.0043641608 +47 49 57.061117632|     ~   |12.22    |12.44    |     ~   |     ~   |B              |   9|   0
115 |LS III +47 50                      |*  |21 43 29.9621211936 +48 11 31.711924932|     ~   |12.8     |     ~   |     ~   |     ~   |B              |   4|   0
116 |EM* VES 907                        |Em*|21 32 25.7190431088 +49 51 41.529714120|     ~   |12.3     |12.3     |     ~   |     ~   |B              |   8|   0
117 |LS III +48 44                      |PM*|21 47 09.2919850992 +49 06 21.019792320|     ~   |13.66    |13.04    |12.91    |     ~   |B              |   4|   0
118 |LS III +48 34                      |*  |21 27 50.5068505320 +49 09 08.781868116|     ~   |12.82    |12.95    |     ~   |     ~   |B              |   5|   0
119 |EM* GGR 22                         |Em*|21 25 49.7202854400 +49 26 20.804698608|     ~   |11.85    |11.23    |     ~   |     ~   |B              |   4|   0
120 |BD+49 3612                         |*  |21 45 31.6456765344 +50 31 07.432762908|     ~   |10.54    |10.04    |     ~   |     ~   |B              |   5|   0
121 |LS III +49 36                      |*  |22 00 10.5617372208 +50 04 04.851861060|     ~   |11.74    |11.62    |     ~   |     ~   |B              |   5|   0
122 |LS III +52 22                      |*  |22 01 24.8639841672 +52 19 57.037622628|     ~   |12.94    |12.53    |     ~   |     ~   |B              |   5|   0
123 |LS III +50 37                      |*  |22 07 30.1586204112 +50 49 25.368089448|     ~   |12.6     |     ~   |     ~   |     ~   |B              |   4|   0
124 |LS III +51 31                      |*  |21 57 30.6693523848 +51 18 39.977050356|     ~   |12.32    |11.97    |     ~   |     ~   |B              |   5|   0
125 |LS III +49 38                      |*  |22 01 52.9524623640 +50 13 47.580374352|     ~   |10.44    |10.32    |     ~   |     ~   |B              |   6|   0
126 |LS III +53 74                      |*  |22 21 51.7772615760 +53 29 22.392146256|     ~   |11.93    |11.94    |     ~   |     ~   |B              |   7|   0
127 |LS III +52 33                      |*  |22 16 02.6965950960 +52 28 54.996784572|     ~   |12.00    |12.04    |     ~   |     ~   |B              |   7|   0
128 |LS III +51 37                      |*  |22 23 00.4635004632 +52 10 13.800741600|     ~   |11.40    |11.42    |     ~   |     ~   |B              |   7|   0
129 |BD+51 3284                         |*  |22 12 07.7859380712 +52 08 42.401357592|     ~   |10.80    |10.90    |     ~   |     ~   |B              |   6|   0
130 |BD+52 3224                         |*  |22 29 37.9461252096 +53 29 35.820115872|     ~   |10.44    |10.42    |     ~   |     ~   |B              |   9|   0
131 |LS III +52 35                      |Pu*|22 38 41.0406076872 +52 48 50.893459020|     ~   |11.41    |11.28    |     ~   |     ~   |B              |   6|   0
132 |LS III +51 40                      |*  |22 32 10.5348451608 +52 14 21.162417000|     ~   |11.83    |11.93    |     ~   |     ~   |B              |   6|   0
133 |LS III +54 73                      |*  |22 44 42.9995323704 +54 16 06.453871860|     ~   |11.68    |11.28    |     ~   |     ~   |B              |   6|   0
134 |LS III +53 82                      |*  |22 47 59.0195696112 +54 12 47.850294672|     ~   |10.79    |10.90    |     ~   |     ~   |B              |   6|   0
135 |LS III +52 37                      |*  |22 46 31.6428359904 +52 22 15.564093672|     ~   |10.59    |10.71    |     ~   |     ~   |B              |   7|   0
136 |LS III +54 81                      |Em*|23 11 50.1002956992 +54 34 55.522320312|     ~   |11.68    |12.03    |     ~   |     ~   |B              |   8|   0
137 |LS III +53 86                      |*  |23 11 49.1157666672 +53 24 25.857988236|     ~   |12.1     |     ~   |11.65    |     ~   |B              |   4|   0
138 |BD+54 2931                         |*  |23 12 26.7922645464 +55 11 54.143005056|9.74     |10.16    |9.85     |     ~   |     ~   |B              |   7|   0
139 |LS III +53 87                      |Em*|23 14 53.9158569240 +53 52 18.215173020|     ~   |10.86    |10.71    |     ~   |     ~   |B              |   7|   0
140 |LS III +55 116                     |*  |23 41 44.3912598744 +55 28 43.553647632|     ~   |11.31    |11.01    |     ~   |     ~   |B              |   5|   0
141 |LS III +54 86                      |*  |23 46 55.0174117968 +55 07 24.567230676|     ~   |10.98    |10.87    |     ~   |     ~   |B              |   5|   0
142 |HD 223036                          |Be*|23 45 55.0592956776 +54 44 07.441520280|7.79     |8.51     |8.50     |     ~   |     ~   |B              |  26|   0
143 |BD+54 3                            |*  |00 08 48.0583369776 +55 39 59.466020688|9.93     |10.51    |10.39    |     ~   |     ~   |B              |   6|   0
144 |TYC 3653-1426-1                    |*  |00 23 36.4429257504 +53 22 11.211587292|     ~   |10.64    |10.33    |     ~   |     ~   |B_             |   2|   0
145 |HD 17218                           |*  |02 47 21.1922126112 +45 16 12.193226040|8.48     |9.20     |9.29     |     ~   |     ~   |B              |  13|   0
146 |LS II +41 3                        |Y*O|20 14 19.0507146720 +41 13 36.316060104|     ~   |10.92    |10.52    |     ~   |     ~   |B              |   7|   0
147 |HD 228654                          |*  |20 15 54.3997299408 +40 52 13.380871908|10.35    |10.39    |9.61     |     ~   |     ~   |B              |  11|   0
148 |HD 228730                          |*  |20 16 48.9530295120 +40 47 04.491876084|     ~   |11.10    |10.55    |     ~   |     ~   |B              |   8|   0
149 |LS III +40 5                       |*  |20 16 56.5503610632 +40 39 47.816058996|     ~   |11.36    |10.79    |10.90    |     ~   |B              |   5|   0
150 |LS III +40 7                       |Em*|20 17 25.1168839752 +40 44 32.352008316|     ~   |11.55    |11.05    |     ~   |     ~   |B              |   8|   0
151 |LS III +40 8                       |*  |20 17 25.6826500824 +40 45 16.680520152|     ~   |11.62    |10.86    |10.97    |     ~   |B              |   5|   0
152 |BD+40 4112                         |Em*|20 18 53.0980006440 +40 57 28.662685524|     ~   |11.03    |9.67     |     ~   |     ~   |B              |  12|   0
153 |2MASS J20202454+4119308            |Y*O|20 20 24.5422481832 +41 19 30.873838008|     ~   |13.14    |12.54    |     ~   |     ~   |B              |   3|   0
154 |LS III +42 4                       |*  |20 14 02.4454456584 +42 35 50.683490736|     ~   |10.72    |10.35    |     ~   |     ~   |B              |   5|   0
155 |HD 228255                          |*  |20 11 55.1160375648 +40 14 05.430905412|     ~   |11.21    |10.66    |     ~   |     ~   |B              |   9|   0
156 |LS II +39 12                       |*  |20 12 30.8617663704 +40 00 32.438468196|     ~   |11.96    |11.38    |     ~   |     ~   |B              |   6|   0
157 |[KW97] 44-6                        |Em*|20 14 35.0300111832 +40 32 06.751293360|     ~   |     ~   |11.5     |     ~   |     ~   |B              |   3|   0
158 |LS III +42 7                       |*  |20 16 19.9940916120 +42 51 48.127627980|     ~   |11.80    |11.48    |     ~   |     ~   |B              |   6|   0
159 |V* V2117 Cyg                       |a2*|20 20 39.1901998440 +43 07 37.182396576|     ~   |9.27     |8.98     |     ~   |     ~   |B              |  20|   0
160 |LS III +42 8                       |*  |20 17 10.4336868528 +42 22 34.825908864|     ~   |12.49    |11.48    |     ~   |     ~   |B              |   6|   0
161 |BD+41 3698                         |*  |20 18 46.0208617992 +42 25 24.843627840|     ~   |10.95    |9.92     |     ~   |     ~   |B              |   7|   0
162 |LS III +45 12                      |*  |20 37 19.8867067680 +46 00 42.662726352|     ~   |11.07    |10.48    |     ~   |     ~   |B              |   6|   0
163 |LS III +44 18                      |*  |20 30 41.1257388576 +44 47 07.825889544|     ~   |11.13    |11.00    |     ~   |     ~   |B              |   5|   0
164 |LS III +45 13                      |*  |20 39 47.6009621256 +45 15 35.726590080|     ~   |12.37    |12.23    |     ~   |     ~   |B              |   5|   0
165 |LS III +45 14                      |*  |20 39 49.2385617480 +45 32 54.777945228|     ~   |11.22    |10.82    |     ~   |     ~   |B              |   5|   0
166 |LS III +45 17                      |*  |20 42 36.1797841224 +45 16 16.484065860|     ~   |12.4     |     ~   |     ~   |     ~   |B              |   4|   0
167 |LS III +44 21                      |Em*|20 43 36.4808138184 +44 55 05.242712880|     ~   |11.78    |10.88    |     ~   |     ~   |B              |   9|   0
168 |LS III +45 8                       |*  |20 29 23.5714988064 +45 17 56.313276720|     ~   |11.89    |11.28    |     ~   |     ~   |B              |   6|   0
169 |LS III +46 16                      |*  |20 38 49.2582270888 +46 29 39.124616244|     ~   |11.76    |11.03    |     ~   |     ~   |B              |   5|   0
170 |LS III +47 17                      |Em*|20 52 48.1303613400 +47 16 26.825928276|     ~   |11.34    |10.41    |     ~   |     ~   |B              |   9|   0
171 |LS III +46 28                      |*  |20 50 06.4081628040 +46 33 48.089712204|     ~   |12.0     |     ~   |     ~   |     ~   |B              |   5|   1
172 |EM* UHA 3                          |Em*|20 41 26.3609068296 +46 16 58.839019716|     ~   |12.5     |12.5     |     ~   |     ~   |B              |   3|   0
173 |EM* UHA 20                         |Em*|20 47 07.2366197328 +45 44 09.148425864|     ~   |11.63    |11.27    |     ~   |     ~   |B              |   9|   0
174 |LS III +45 21                      |*  |20 48 17.6859668040 +45 36 35.483064660|     ~   |11.58    |11.06    |     ~   |     ~   |B              |   6|   0
175 |HD 198479                          |** |20 48 54.9964280640 +45 37 27.164718408|8.43     |8.90     |8.62     |     ~   |     ~   |B              |  37|   0
176 |LS III +45 29                      |*  |20 51 41.4300377472 +45 45 21.738854016|     ~   |11.46    |10.79    |     ~   |     ~   |B              |   6|   0
177 |BD+45 3318                         |Em*|20 53 32.7163071768 +46 05 29.280122664|     ~   |11.01    |10.7     |     ~   |     ~   |B              |  15|   1
178 |EM* UHA 22                         |Em*|20 47 20.1458550528 +45 37 11.343046296|     ~   |12.17    |11.64    |     ~   |     ~   |B              |   7|   0
179 |EM* UHA 14                         |Em*|20 44 45.1752738504 +46 07 04.830193956|     ~   |15.5     |14.5     |     ~   |     ~   |B              |   3|   0
180 |EM* UHA 62                         |Em*|20 54 34.4426649504 +46 08 55.281904620|     ~   |14.5     |14.0     |     ~   |     ~   |B              |   3|   0
181 |LS III +48 10                      |*  |20 53 56.4729102360 +48 53 47.285963988|     ~   |12.01    |11.32    |     ~   |     ~   |B              |   6|   0
182 |BD+48 3250                         |*  |20 56 33.1041573120 +49 04 48.895934916|     ~   |10.79    |9.87     |     ~   |     ~   |B              |   5|   0
