C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
110 |[MK97] 28                          |*  |20 59 04.6428919968 +55 49 52.840630956|     ~   |     ~   |     ~   |13.87    |     ~   |M              |   1|   0
111 |[MK97] 31                          |*  |21 01 10.2195816360 +54 24 53.929496376|     ~   |     ~   |     ~   |12.49    |     ~   |M              |   1|   0
112 |[MK97] 35                          |*  |21 05 21.2943065616 +55 08 37.572581472|     ~   |15.47    |13.03    |12.41    |     ~   |M              |   1|   0
113 |[MK97] 37                          |*  |21 07 12.7214170032 +54 34 59.800680804|     ~   |16.58    |13.95    |13.12    |     ~   |M              |   1|   0
114 |[MK97] 40                          |*  |21 08 18.9542939136 +54 53 00.078303264|     ~   |15.57    |13.21    |12.65    |     ~   |M              |   1|   0
115 |IRAS 20552+5308                    |*  |20 56 43.9092558336 +53 19 52.451888844|     ~   |     ~   |     ~   |11.22    |     ~   |M              |   1|   0
116 |[MK97] 12                          |LP*|20 53 27.0171735408 +53 54 28.646939592|     ~   |     ~   |     ~   |12.92    |     ~   |M              |   1|   0
117 |IRAS 21110+5702                    |*  |21 12 29.4257802072 +57 15 15.262651512|     ~   |12.73    |10.51    |     ~   |     ~   |M              |   2|   0
118 |IRAS 21265+5545                    |*  |21 28 03.1024847640 +55 58 08.481504252|     ~   |13.14    |10.99    |10.42    |     ~   |M              |   2|   0
119 |[MK97] 48                          |*  |21 21 20.9446533504 +55 34 13.472608944|     ~   |13.10    |11.62    |     ~   |     ~   |M              |   2|   0
120 |[MK97] 49                          |*  |21 21 28.3757033256 +55 33 25.031956896|     ~   |15.31    |12.95    |12.50    |     ~   |M              |   1|   0
121 |[MK97] 50                          |*  |21 21 31.9057372872 +56 10 49.112605020|     ~   |16.23    |13.60    |12.79    |     ~   |M              |   1|   0
122 |[MK97] 51                          |*  |21 23 21.3581649528 +55 52 49.100393064|     ~   |15.08    |12.66    |12.01    |     ~   |M              |   1|   0
