C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
553 |FIRST J111212.6+431015             |*  |11 12 12.69 +43 10 15.5                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
554 |IRAS 11049+3845                    |LP*|11 07 44.8749941784 +38 29 15.950272380|     ~   |12.21    |10.90    |     ~   |     ~   |M              |   3|   0
555 |CLS 35                             |PM*|11 11 27.4005991416 +32 37 12.242714232|     ~   |16.55    |15.35    |15.07    |     ~   |M              |   2|   1
556 |ATO J168.9067+00.1334              |RG*|11 15 37.6143433608 +00 08 00.548059164|     ~   |14.24    |12.68    |12.18    |     ~   |M              |  11|   0
557 |CLS 41A                            |*  |11 36 54.4158450456 +34 08 06.295206732|     ~   |16.91    |15.69    |15.66    |     ~   |M              |   1|   0
558 |CLS 42A                            |*  |11 37 09.7801433088 +34 45 08.509601736|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
559 |CLS 42B                            |PM*|11 37 10.6574852616 +34 44 52.785029256|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
560 |CLS 40                             |PM*|11 32 12.6151462968 +32 03 03.786157296|     ~   |17.59    |15.95    |15.28    |     ~   |M              |   1|   0
561 |LP 432-60                          |PM*|11 26 51.8925163464 +15 16 23.081051856|     ~   |15.02    |13.427   |13.164   |     ~   |M              |   9|   0
562 |G 10-35                            |PM*|11 35 35.711808 +04 14 14.68500        |     ~   |15.87    |14.20    |13.95    |     ~   |M              |  11|   0
563 |CLS 44                             |PM*|11 41 31.2612908472 +31 52 21.336176712|     ~   |17.06    |15.89    |15.64    |     ~   |M              |   1|   0
564 |2MASS J11403888-2629093            |EmG|11 40 38.88 -26 29 09.4                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
565 |2MASS J11405466-2629280            |EmG|11 40 54.6609170424 -26 29 28.075100136|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
566 |2MASS J11410293-2627330            |EmG|11 41 02.9618112312 -26 27 32.984267220|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
567 |LP 375-91                          |PM*|11 55 25.7470003968 +20 30 15.942130524|     ~   |     ~   |13.93    |     ~   |     ~   |M              |   4|   0
568 |TYC 4932-277-1                     |V* |11 56 07.0690787184 -01 24 51.637715172|     ~   |12.264   |11.342   |11.19    |     ~   |M              |   8|   0
569 |LP 216-57                          |PM*|12 08 25.9699287456 +40 22 49.036905516|     ~   |13.96    |     ~   |11.955   |     ~   |M              |  13|   0
570 |HS 1202+4023                       |*  |12 04 36.9966638760 +40 06 42.356349576|     ~   |19.0     |     ~   |     ~   |     ~   |M              |   1|   0
571 |HS 1207+4007                       |*  |12 10 16.4899456368 +39 51 10.447493616|     ~   |20.0     |     ~   |     ~   |     ~   |M              |   1|   0
572 |BTC40 J1202-2014                   |*  |12 02 44.6 -20 14 02                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
573 |CLS 49                             |PM*|12 19 40.5184102440 +32 31 59.360812176|     ~   |15.4     |     ~   |13.6     |     ~   |M              |   5|   0
574 |Cl* Melotte 111 AV 871             |*  |12 17 14.2571454624 +25 20 44.625411528|     ~   |12.51    |11.79    |12.33    |     ~   |M              |   2|   0
575 |Cl* Melotte 111 AV 712             |*  |12 15 26.0599439280 +25 03 22.467363300|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
576 |Cl* Melotte 111 AV 398             |*  |12 11 15.0669864936 +24 38 21.459685092|     ~   |13.8     |     ~   |     ~   |     ~   |M              |   2|   0
577 |BTC40 J1213-2022                   |*  |12 13 14.8 -20 22 28                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
578 |CLS 52                             |*  |12 24 39.9206190720 +33 30 31.715951544|     ~   |     ~   |     ~   |15.85    |     ~   |M              |   1|   0
579 |LBQS 1225+1333                     |*  |12 28 16.8665137248 +13 16 37.304332104|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
580 |CLS 58                             |*  |12 44 34.3659355944 +36 18 32.614400412|     ~   |     ~   |     ~   |15.70    |     ~   |M              |   1|   0
581 |CLS 56                             |err|12 36 01.5 +35 59 30                   |     ~   |     ~   |18.5     |     ~   |     ~   |M              |   1|   0
582 |LBQS 1241+1038                     |*  |12 44 23.0255209344 +10 21 39.679774596|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
583 |MGC 36262                          |*  |12 40 52.3426543944 +00 05 13.616102076|     ~   |17.59    |     ~   |     ~   |     ~   |M              |   2|   0
584 |BD-21 3580                         |*  |12 39 16.9496959176 -22 39 39.175989084|     ~   |10.81    |9.74     |     ~   |     ~   |M              |   8|   0
585 |CLS 59                             |*  |12 49 23.9724194016 +32 40 39.455415552|     ~   |     ~   |     ~   |16.52    |     ~   |M              |   1|   0
586 |CLS 62A                            |** |12 54 01.76808 +32 43 00.6816          |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
587 |CLS 62B                            |*  |12 54 01.7800689312 +32 42 46.279950480|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
588 |LP 496-34                          |PM*|12 50 50.8404329064 +13 01 46.426948572|     ~   |16.67    |15.05    |14.64    |     ~   |M              |  10|   0
589 |SDSS J125600.99-001125.8           |*  |12 56 00.9925754904 -00 11 25.799551512|     ~   |19.55    |     ~   |     ~   |     ~   |M              |   2|   0
590 |G 123-74                           |PM*|12 57 32.4095931025 +40 57 01.114110454|     ~   |14.04    |     ~   |12.430   |     ~   |M              |  16|   0
591 |CLS 63                             |*  |12 56 38.0097714048 +33 41 41.083852740|     ~   |     ~   |16.0     |     ~   |     ~   |M              |   1|   0
592 |CLS 64                             |*  |13 05 34.1749346208 +31 52 41.290048956|     ~   |     ~   |     ~   |16.32    |     ~   |M              |   1|   0
593 |Weis 62550                         |*  |13 03 35.0 +28 20 35                   |     ~   |14.73    |13.38    |     ~   |     ~   |M              |   2|   0
594 |Weis 62766                         |*  |13 05 13.9 +28 06 29                   |     ~   |15.81    |14.47    |     ~   |     ~   |M              |   1|   0
595 |GEN# +6.00661605                   |*  |13 04 58.6 +28 53 09                   |     ~   |14.94    |13.52    |     ~   |     ~   |M              |   2|   0
596 |BD+39 2618                         |LP*|13 12 22.5888162216 +38 44 02.092798500|     ~   |13.10    |10.91    |     ~   |     ~   |M              |   2|   0
597 |DO 14706                           |LP?|13 09 51.7070845224 +34 06 02.780828676|     ~   |11.48    |10.25    |     ~   |     ~   |M              |   3|   0
598 |IRAS 13063+3211                    |*  |13 08 44.3218172640 +31 55 12.595548360|     ~   |13.09    |11.58    |11.17    |     ~   |M              |   2|   0
599 |CLS 68                             |PM*|13 15 47.838216 +29 57 38.17008        |     ~   |16.75    |15.49    |14.97    |     ~   |M              |   2|   0
600 |2MASS J13141250-1323517            |RG*|13 14 12.5097100152 -13 23 51.557085492|     ~   |12.67    |10.55    |     ~   |     ~   |M              |   4|   0
601 |[FS2003] 0665                      |PM*|13 12 31.0972594056 -32 28 47.211531960|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
602 |CD-33 8951                         |LP*|13 18 23.7254756976 -34 35 54.914053596|     ~   |10.47    |9.17     |     ~   |     ~   |M              |   1|   0
603 |IRAS 13221+3759                    |LP?|13 24 25.1021542200 +37 44 05.059797684|     ~   |12.59    |11.44    |     ~   |     ~   |M              |   1|   0
604 |BPS CS 30311-0012                  |LM*|13 25 22.3832657904 +06 00 28.813902948|     ~   |14.81    |13.91    |     ~   |     ~   |M              |   4|   0
605 |[LDP2005] 120                      |PM*|13 34 42.1937756928 +37 41 45.640973940|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
606 |[MGN2003] 36                       |*  |13 35 22.83 +37 49 11.1                |     ~   |     ~   |     ~   |22.3     |     ~   |M              |   3|   0
607 |HS 1334+3521                       |*  |13 36 52.3065327072 +35 06 23.106901896|     ~   |19.3     |     ~   |     ~   |     ~   |M              |   1|   0
608 |V* DH Boo                          |LP?|13 37 52.9275858216 +13 26 48.380517672|     ~   |9.70     |8.51     |     ~   |     ~   |Mb             |  22|   0
609 |BD-05 3727                         |RG*|13 34 56.7490536024 -05 51 57.835323864|     ~   |12.708   |11.146   |10.12    |9.248    |M              |   8|   0
610 |[PBP84] 133406.9-280736            |LP?|13 36 55.2127953672 -28 22 53.997448188|     ~   |13.73    |12.15    |11.73    |     ~   |M              |   1|   0
611 |[PBP84] 133248.1-293952            |LP*|13 35 37.1062893096 -29 55 11.160985044|     ~   |15.28    |13.71    |13.18    |     ~   |M              |   7|   0
612 |[PBP84] 133540.8-292620            |LP?|13 38 30.0553352160 -29 41 35.240348256|     ~   |16.73    |15.24    |14.80    |     ~   |M              |   3|   0
613 |CLS 74                             |*  |13 44 50.9636794872 +36 12 36.398310876|     ~   |     ~   |13.5     |     ~   |     ~   |M              |   3|   0
614 |V* V1031 Cen                       |Mi*|13 42 04.9619261304 -30 34 56.080357932|     ~   |15.0     |     ~   |11.75    |     ~   |M              |   4|   0
615 |V* V664 Cen                        |Mi*|13 41 46.5045290472 -30 30 18.893241900|     ~   |     ~   |11.33    |16.06    |     ~   |M              |  14|   0
616 |2MASS J13535752+3436591            |*  |13 53 57.5342518176 +34 36 59.075371440|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
617 |BD-00 2777                         |*  |14 03 03.1718940456 -01 12 34.892194500|     ~   |12.59    |11.71    |     ~   |     ~   |M              |   1|   0
618 |GSC 04981-01221                    |*  |14 00 50.3869565184 -07 15 39.781050876|     ~   |15.30    |14.38    |14.70    |     ~   |M              |   3|   0
619 |CLS 77A                            |PM*|14 10 45.3799391232 +36 41 49.589280240|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
620 |CLS 77B                            |PM*|14 10 45.1327936992 +36 41 49.959707820|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
621 |BD+02 2775                         |*  |14 08 05.6673460896 +01 31 12.689237604|     ~   |11.93    |10.62    |     ~   |     ~   |M              |   1|   0
622 |SN 1992X                           |*  |14 24 15.15 +35 08 27.3                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   5|   2
623 |SDSS J141547.30+001612.5           |*  |14 15 47.3091602400 +00 16 12.591726492|     ~   |17.1     |     ~   |     ~   |     ~   |M              |   4|   0
624 |CLS 82                             |PM*|14 35 23.7081646752 +34 12 10.688427324|     ~   |     ~   |     ~   |15.83    |     ~   |M              |   1|   0
625 |IRAS 14267+3517                    |LP*|14 28 50.4516320136 +35 04 32.530331208|     ~   |12.24    |10.62    |     ~   |     ~   |M              |   3|   0
626 |HD 326298                          |SB*|16 53 29.9055527256 -41 20 21.140329272|     ~   |12.23    |10.26    |     ~   |     ~   |M              |   5|   0
627 |GSC 07892-00374                    |LP?|17 31 12.8231311848 -42 00 40.367180988|     ~   |11.02    |9.57     |     ~   |     ~   |M              |   3|   0
628 |IRAS 17050-4123                    |AB?|17 08 32.6014149192 -41 27 12.583767492|     ~   |     ~   |     ~   |10.79    |     ~   |M              |   5|   0
629 |HD 324510                          |*  |17 50 33.3919554024 -42 05 26.279581056|     ~   |11.53    |9.91     |     ~   |     ~   |M              |   2|   0
630 |V* MQ CrA                          |Mi*|18 03 32.9709197184 -39 51 52.426052208|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
631 |V* QT CrA                          |LP*|18 09 12.3861464160 -40 12 13.184880480|     ~   |12.29    |11.40    |     ~   |     ~   |M              |  24|   0
632 |HD 324888                          |*  |18 05 49.1784868560 -40 24 49.288223736|     ~   |11.58    |10.08    |     ~   |     ~   |M              |   2|   0
633 |HD 325010                          |*  |18 08 04.5210153216 -40 06 13.778766504|     ~   |10.91    |9.72     |     ~   |     ~   |M              |   2|   0
634 |HD 325285                          |*  |18 24 31.5572640936 -39 58 03.815265756|     ~   |11.22    |9.68     |     ~   |     ~   |M              |   2|   0
635 |[IG95] 134-03                      |*  |18 25 51.2124291120 -39 26 24.122929524|     ~   |17.08    |     ~   |14.65    |     ~   |M              |   1|   0
636 |2MASS J18244950-3928570            |LP*|18 24 49.5032000544 -39 28 57.075257748|     ~   |16.9     |     ~   |14.34    |     ~   |M              |   1|   0
637 |HD 325278                          |*  |18 24 52.6386532272 -39 25 52.014129888|     ~   |10.91    |9.76     |     ~   |     ~   |M              |   2|   0
638 |HD 325348                          |*  |18 26 25.1145305280 -39 14 17.195546364|     ~   |11.28    |9.75     |     ~   |     ~   |M              |   5|   0
639 |V* CL Mic                          |LP?|20 33 01.6971686280 -33 55 28.435984968|     ~   |11.58    |10.36    |     ~   |     ~   |M              |   6|   0
640 |V* V1066 Sco                       |LP?|16 43 58.3937866704 -36 38 20.988853656|     ~   |11.03    |9.28     |     ~   |     ~   |M              |  13|   0
641 |HD 322810                          |*  |17 09 07.1588663520 -38 25 33.328341012|     ~   |12.52    |10.34    |     ~   |     ~   |M              |   3|   0
642 |NAME GM 1-24 IRS 16                |*  |17 17 00.96 -36 20 56.7                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
643 |NAME GM 1-24 IRS 22                |Y*?|17 17 02.09 -36 21 09.4                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
644 |HD 323736                          |*  |17 33 23.3980905192 -38 38 49.651453536|     ~   |12.09    |10.32    |     ~   |     ~   |M              |   2|   0
645 |HD 324661                          |*  |17 59 13.2906088032 -37 14 51.000393372|     ~   |10.87    |9.52     |     ~   |     ~   |M              |   2|   0
646 |HD 324667                          |*  |17 57 20.0189969136 -37 33 21.120545412|     ~   |11.05    |9.76     |9.639    |8.065    |M              |   1|   0
647 |HD 320713                          |*  |17 49 11.8499392248 -37 19 29.752302684|     ~   |11.50    |9.67     |     ~   |     ~   |M              |   2|   0
648 |HD 320814                          |*  |17 52 26.8074793776 -36 44 28.096810476|     ~   |12.04    |10.57    |     ~   |     ~   |M              |   2|   0
649 |[IG95] 235-03                      |*  |18 27 07.3631379168 -39 03 30.292443864|     ~   |17.31    |     ~   |15.04    |     ~   |M              |   1|   0
650 |HD 325313                          |*  |18 27 14.5963135704 -37 26 50.174633904|     ~   |12.27    |10.66    |     ~   |     ~   |M              |   2|   0
651 |SSTgbs J1902330-365821             |Em*|19 02 33.0807051408 -36 58 21.278255160|     ~   |     ~   |     ~   |     ~   |     ~   |M              |  17|   0
652 |2MASS J19012717-3659085            |TT*|19 01 27.1758555480 -36 59 08.597796900|     ~   |18.3     |16.9     |     ~   |     ~   |M              |  17|   0
653 |HD 319426                          |SB*|17 09 40.3939457928 -33 10 10.722436104|     ~   |11.41    |10.14    |     ~   |     ~   |M              |   3|   0
654 |HD 320840                          |*  |17 55 28.2171519960 -34 17 05.316195300|     ~   |11.3     |10.6     |     ~   |     ~   |M              |   3|   0
655 |V* V3148 Sgr                       |Mi*|18 22 03.7038515328 -34 47 28.295559024|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
656 |[IG95] 73-16                       |*  |19 17 05.21 -33 26 12.1                |     ~   |17.16    |     ~   |15.15    |     ~   |M              |   1|   0
657 |[IG95] 23-16                       |*  |19 17 29.07 -33 04 36.9                |     ~   |16.56    |     ~   |14.46    |     ~   |M              |   1|   0
658 |2MASS J19170241-3317281            |LP?|19 17 02.4124332336 -33 17 28.132994364|     ~   |17.45    |     ~   |14.86    |     ~   |M              |   1|   0
659 |HD 317531                          |*  |17 25 55.1934326208 -31 31 42.454011540|     ~   |11.5     |9.81     |     ~   |     ~   |M              |   3|   0
660 |HD 317933                          |*  |17 37 28.4741427792 -31 21 50.634707580|     ~   |11.51    |10.13    |     ~   |     ~   |M              |   2|   0
661 |NGC 6425 34                        |*  |17 47 02.0 -31 24 48                   |     ~   |16.03    |13.47    |     ~   |     ~   |M              |   1|   0
662 |[IG95] 313-04                      |*  |18 46 16.5546271128 -30 30 27.485695872|     ~   |17.69    |     ~   |14.90    |     ~   |M              |   1|   0
663 |2MASS J18451116-3034499            |LP?|18 45 11.1651021984 -30 34 49.986564744|     ~   |17.71    |     ~   |14.95    |     ~   |M              |   1|   0
664 |[IG95] 330-04                      |*  |18 45 18.7122660816 -30 31 47.818883964|     ~   |17.77    |     ~   |15.20    |     ~   |M              |   1|   0
665 |[IG95] 192-10                      |*  |18 53 28.1002480584 -30 30 52.597641276|     ~   |17.79    |     ~   |14.89    |     ~   |M              |   3|   0
666 |2MASS J18521431-3028072            |*  |18 52 14.3178884976 -30 28 07.331138364|     ~   |17.85    |     ~   |15.13    |     ~   |M              |   6|   0
667 |2MASS J18535618-3022268            |*  |18 53 56.1828395592 -30 22 26.797782144|     ~   |17.37    |     ~   |15.14    |     ~   |M              |   6|   0
668 |AP J18540714-3039195               |LP?|18 54 07.1418555336 -30 39 19.583929908|     ~   |16.86    |     ~   |14.81    |     ~   |M              |   6|   0
669 |2MASS J18531980-3041435            |LP*|18 53 19.8021352872 -30 41 43.601078580|     ~   |17.7     |     ~   |14.98    |     ~   |M              |   3|   0
670 |2MASS J18524979-3017371            |*  |18 52 49.7971313136 -30 17 37.202221824|     ~   |17.57    |     ~   |15.10    |     ~   |M              |   6|   0
671 |AP J18554169-3028309               |LP?|18 55 41.6976603552 -30 28 30.982400976|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   6|   0
672 |IRAS 18546-3136                    |LP?|18 57 50.0132606592 -31 32 08.884848912|     ~   |13.43    |12.76    |     ~   |     ~   |M              |   2|   0
673 |2MASS J18573016-3040437            |LP*|18 57 30.1720953873 -30 40 43.675943060|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
674 |[WIC96] UKST 20                    |*  |18 58 57.3205784784 -30 59 12.137823996|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
675 |2MASS J18592754-3126185            |LP?|18 59 27.5385083304 -31 26 18.465041868|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
676 |2MASS J18590408-3105542            |*  |18 59 04.0768976088 -31 05 54.349272456|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   6|   0
677 |[WIC96] RV 31                      |*  |18 58 42.4524552552 -30 50 50.311088628|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   5|   0
678 |[WIC96] RV 34                      |*  |18 58 46.1382650256 -30 40 42.285188208|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
679 |2MASS J18572037-3104482            |LP*|18 57 20.3739626640 -31 04 48.247241160|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
680 |[WIC96] RV 45                      |*  |18 59 33.9479087784 -30 51 59.193380232|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
681 |V* AT Sco                          |Mi*|16 31 40.8045396960 -27 54 36.036740736|     ~   |     ~   |11.12    |     ~   |     ~   |M              |   4|   0
682 |V* NX Oph                          |LP*|16 59 36.4014987120 -27 59 30.253908084|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
683 |V* FR Oph                          |LP*|17 03 19.6838956608 -28 50 49.000185636|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
684 |PN Al 2-D                          |*  |17 29 27.7570640832 -29 47 08.687433552|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   9|   2
685 |HD 317908                          |*  |17 36 48.6250574424 -30 37 20.633745864|     ~   |11.79    |10.17    |     ~   |     ~   |M              |   3|   0
686 |HD 316625                          |*  |17 54 25.4058709056 -30 42 05.748134256|     ~   |11.60    |10.09    |     ~   |     ~   |M              |   2|   0
687 |OGLE BLG-LPV-71826                 |LP*|17 51 16.1321129592 -30 37 59.323542816|     ~   |     ~   |20.531   |     ~   |14.021   |M              |   3|   0
688 |V* V1351 Sgr                       |LP*|18 02 31.1294386176 -30 16 49.164227112|     ~   |     ~   |15.556   |     ~   |12.371   |M              |   2|   0
689 |V* V1548 Sgr                       |LP*|18 04 47.9571303384 -30 14 10.649750064|     ~   |17.4     |     ~   |     ~   |     ~   |M              |   3|   0
690 |HD 317101A                         |PM*|18 05 26.4023543352 -29 29 51.117975960|     ~   |11.60    |10.56    |10.12    |8.96     |M              |   2|   0
691 |[IG95] 14-04                       |*  |18 44 27.3703521696 -30 00 22.294889964|     ~   |17.03    |     ~   |14.56    |     ~   |M              |   1|   0
692 |[IG95] 31-04                       |*  |18 42 20.5633948272 -30 10 00.225852996|     ~   |17.44    |     ~   |14.80    |     ~   |M              |   1|   0
693 |2MASS J18425236-3024395            |LP*|18 42 52.3617805080 -30 24 39.491552844|     ~   |17.47    |     ~   |15.19    |     ~   |M              |   1|   0
694 |2MASS J18443472-3023411            |LP?|18 44 34.7275694448 -30 23 41.142258708|     ~   |16.76    |     ~   |14.33    |     ~   |M              |   1|   0
695 |2MASS J18431167-3006090            |LP*|18 43 11.6770294368 -30 06 08.990982936|     ~   |16.95    |     ~   |14.76    |     ~   |M              |   1|   0
696 |[IG95] 182-04                      |*  |18 43 47.5310723712 -30 24 24.642318636|     ~   |17.13    |     ~   |14.85    |     ~   |M              |   1|   0
697 |2MASS J18443016-3020328            |LP*|18 44 30.1625218152 -30 20 32.830220724|     ~   |18.16    |     ~   |15.31    |     ~   |M              |   2|   0
698 |AP J18460101-3001378               |LP?|18 46 01.0139494248 -30 01 37.804748988|     ~   |17.16    |     ~   |14.74    |     ~   |M              |   5|   0
699 |AP J18464580-3016586               |LP?|18 46 45.8043086016 -30 16 58.662417648|     ~   |17.28    |     ~   |14.48    |     ~   |M              |   5|   0
700 |2MASS J18535102-3012255            |*  |18 53 51.0250439328 -30 12 25.485008220|     ~   |17.12    |     ~   |14.67    |     ~   |M              |   6|   0
701 |[IG95] 79-10                       |*  |18 52 21.0222707640 -30 09 02.771078328|     ~   |17.06    |     ~   |15.01    |     ~   |M              |   2|   0
702 |2MASS J18531926-2939511            |LP*|18 53 19.2684663768 -29 39 51.172355808|     ~   |16.64    |     ~   |14.73    |     ~   |M              |   1|   0
703 |2MASS J18525490-3002500            |*  |18 52 54.9164348592 -30 02 50.083723644|     ~   |16.69    |     ~   |14.52    |     ~   |M              |   6|   0
704 |AP J18522602-3007477               |LP?|18 52 26.0317730424 -30 07 47.744355108|     ~   |17.26    |     ~   |14.54    |     ~   |M              |   6|   0
705 |2MASS J18521772-3008323            |*  |18 52 17.7304957440 -30 08 32.415088488|     ~   |16.49    |     ~   |14.31    |     ~   |M              |   6|   0
706 |2MASS J18522609-2959303            |*  |18 52 26.1002731320 -29 59 30.345325116|     ~   |16.61    |     ~   |14.67    |     ~   |M              |   6|   0
707 |2MASS J18523830-2958246            |LP*|18 52 38.3159787696 -29 58 24.632823036|     ~   |16.81    |     ~   |14.74    |     ~   |M              |   6|   0
708 |2MASS J18523752-2952046            |*  |18 52 37.5286525872 -29 52 04.659137076|     ~   |16.76    |     ~   |14.60    |     ~   |M              |   4|   0
709 |2MASS J18533159-2952295            |*  |18 53 31.5980111256 -29 52 29.564525892|     ~   |16.38    |     ~   |14.81    |     ~   |M              |   5|   0
710 |2MASS J18535514-2954249            |*  |18 53 55.14 -29 54 25.0                |     ~   |16.88    |     ~   |14.84    |     ~   |M              |   5|   0
711 |2MASS J18521714-3000163            |*  |18 52 17.1442324440 -30 00 16.381155816|     ~   |17.57    |     ~   |14.99    |     ~   |M              |   6|   0
712 |[IG95] 88-10                       |*  |18 52 00.7352459688 -29 54 13.610952828|     ~   |17.55    |     ~   |15.02    |     ~   |M              |   4|   0
713 |[IG95] 95-10                       |*  |18 52 42.2583701040 -29 47 31.832107512|     ~   |17.64    |     ~   |15.06    |     ~   |M              |   1|   0
714 |AP J18530812-3008503               |LP?|18 53 08.1249443856 -30 08 50.302980456|     ~   |17.27    |     ~   |15.20    |     ~   |M              |   5|   0
715 |[IG95] 116-10                      |*  |18 52 55.3790538312 -30 14 54.776888052|     ~   |16.87    |     ~   |15.27    |     ~   |M              |   2|   0
716 |2MASS J18561969-2939276            |LP*|18 56 19.6962388488 -29 39 27.705941856|     ~   |17.23    |     ~   |14.54    |     ~   |M              |   5|   0
717 |2MASS J18564244-2945239            |*  |18 56 42.44 -29 45 24.0                |     ~   |16.56    |     ~   |14.41    |     ~   |M              |   5|   0
718 |[IG95] 135-10                      |*  |18 56 54.1924154256 -29 45 42.532097544|     ~   |16.96    |     ~   |14.58    |     ~   |M              |   1|   0
719 |BD-20 4169                         |*  |15 12 05.3092382616 -20 45 07.936368012|     ~   |11.493   |10.162   |     ~   |     ~   |M              |   6|   0
720 |IRAS 16169-2533                    |*  |16 19 58.7991930768 -25 40 51.062258424|     ~   |12.6     |11.71    |     ~   |     ~   |M              |   2|   0
721 |IRAS 16178-2501                    |*  |16 20 50.6 -25 07 59                   |     ~   |18.0     |13.54    |     ~   |     ~   |M              |   7|   0
722 |EQ 1617-250                        |*  |16 20 52.1 -25 08 02                   |     ~   |13.9     |13.10    |     ~   |     ~   |M              |   1|   0
723 |IRAS 16181-2536                    |*  |16 21 14.0 -25 43 06                   |     ~   |16.6     |14.80    |     ~   |     ~   |M              |   5|   0
724 |IRAS 16197-2358                    |*  |16 22 51.9 -24 05 45                   |     ~   |12.1     |10.64    |     ~   |     ~   |M              |   1|   0
725 |UCAC4 321-086104                   |*  |16 29 15.6772181232 -25 52 06.331080936|     ~   |     ~   |     ~   |16.29    |     ~   |M              |   1|   0
726 |2MASS J16230923-2417047            |Y*O|16 23 09.2283172152 -24 17 05.013918240|     ~   |14.3     |12.75    |     ~   |     ~   |M              |  38|   0
727 |IRAS 16289-2457                    |Y*O|16 31 54.7465284384 -25 03 24.085891512|     ~   |     ~   |     ~   |     ~   |     ~   |M              |  32|   0
728 |IRAS 16321-2512                    |LP*|16 35 10.8361958424 -25 18 28.885411008|     ~   |14.6     |12.37    |     ~   |     ~   |M              |   3|   0
729 |V* V2520 Sgr                       |Mi*|18 19 07.9244778216 -27 32 52.058154372|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
730 |HD 167701                          |LP?|18 17 30.8706112176 -26 09 44.643827736|     ~   |11.49    |10.11    |9.94     |     ~   |Ma             |   3|   0
731 |HD 317212                          |*  |18 12 17.5872755712 -27 43 15.514351680|     ~   |11.45    |9.63     |     ~   |     ~   |M              |   2|   0
732 |V* V2576 Sgr                       |Mi*|18 31 49.8292327800 -26 18 53.061686712|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   4|   0
733 |Elia 2-63                          |*  |16 22 27.0415758792 -23 06 30.404006424|     ~   |16.003   |13.357   |     ~   |     ~   |M              |   8|   0
734 |IRAS 16225-2242                    |*  |16 25 30.6 -22 49 15                   |     ~   |9.8      |9.02     |     ~   |     ~   |M              |   1|   0
735 |EQ 1622-227                        |*  |16 25 32.9 -22 49 27                   |     ~   |15.6     |14.73    |     ~   |     ~   |M              |   1|   0
736 |Elia 2-17                          |Ro*|16 26 11.5537698720 -23 18 39.743938584|     ~   |14.471   |12.208   |     ~   |9.281    |M              |  10|   0
737 |S1* 521                            |S* |17 20 45.9476155728 -23 40 35.000387580|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   3|   0
738 |HD 313609                          |*  |18 01 36.9183946368 -23 20 14.765805168|     ~   |11.25    |9.54     |     ~   |     ~   |M              |   2|   0
739 |HD 313862                          |*  |18 07 13.3184725560 -23 03 57.062017548|     ~   |10.97    |9.25     |     ~   |     ~   |M              |   2|   0
