C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:20

sptype='K'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
116 |BD+55 2659                         |*  |21 58 16.9025747328 +56 35 47.113184796|     ~   |11.29    |10.06    |     ~   |     ~   |K              |   1|   0
117 |HD 239920                          |*  |22 18 29.4009548352 +58 37 12.901574064|     ~   |11.74    |10.27    |     ~   |     ~   |K              |   2|   0
118 |BD+59 2691                         |*  |23 17 07.9122099504 +59 57 57.491423676|     ~   |11.15    |9.87     |     ~   |     ~   |K              |   1|   0
119 |HD 240291                          |*  |23 24 40.6142878272 +60 09 15.950030544|     ~   |11.58    |10.04    |     ~   |     ~   |K              |   2|   0
120 |BD+58 2628                         |*  |23 40 18.2545967160 +59 31 39.786288132|     ~   |12.08    |10.46    |     ~   |     ~   |K              |   2|   0
121 |BD+60 2624                         |*  |23 49 22.1609182320 +60 56 15.900942624|     ~   |11.73    |9.66     |     ~   |     ~   |K              |   1|   0
122 |HD 240480                          |*  |00 02 44.9512981848 +59 57 35.919363888|     ~   |10.66    |9.338    |8.817    |     ~   |K              |   8|   0
123 |HD 236313                          |** |00 09 07.0950726816 +59 38 15.207760032|     ~   |10.48    |9.82     |9.64     |     ~   |K              |   5|   0
124 |TYC 4014-3283-1                    |*  |00 00 26.0046122400 +60 25 39.326484000|     ~   |11.52    |10.69    |     ~   |     ~   |K              |   5|   0
125 |TYC 4014-1005-1                    |*  |00 00 24.7733033928 +60 25 31.105994628|     ~   |11.05    |10.29    |     ~   |     ~   |K              |   5|   0
126 |BD+55 513                          |*  |02 08 19.2385351632 +56 26 40.612741692|     ~   |11.22    |9.92     |     ~   |     ~   |K              |   2|   0
127 |HD 236952                          |*  |02 11 29.4202268280 +56 07 44.881128300|     ~   |9.15     |8.18     |     ~   |     ~   |K              |   4|   0
128 |TYC 3700-1032-1                    |*  |02 51 53.8786803768 +53 01 26.214228480|     ~   |11.5     |10.8     |     ~   |     ~   |K              |   1|   0
129 |HD 189300                          |*  |19 57 28.3802090856 +43 16 46.815735360|     ~   |10.35    |9.42     |     ~   |     ~   |K              |   2|   0
130 |TYC 3576-1394-1                    |PM*|20 15 44.5368498816 +47 31 22.761132168|     ~   |11.65    |10.95    |     ~   |     ~   |K              |   2|   0
131 |TYC 3576-398-1                     |*  |20 17 46.3088930448 +47 30 02.404945008|     ~   |12.28    |12.18    |     ~   |     ~   |K              |   1|   0
132 |HD 235383                          |*  |20 51 33.4202988240 +52 25 25.480844832|     ~   |11.74    |10.04    |     ~   |     ~   |K              |   2|   0
133 |Cl Trumpler 37 87                  |*  |21 21 17.1381436296 +56 44 15.147944916|     ~   |12.62    |11.05    |     ~   |     ~   |K              |   2|   0
134 |IRAS 21267+5815                    |*  |21 28 09.1155829560 +58 28 09.021535608|     ~   |12.58    |10.45    |     ~   |     ~   |K              |   2|   0
135 |Cl Trumpler 37 983                 |*  |21 31 21.7819120272 +58 28 53.007490740|     ~   |13.10    |10.78    |     ~   |     ~   |K              |   2|   0
136 |BD+56 2577                         |*  |21 27 28.2543005088 +57 15 30.148394760|     ~   |11.88    |10.15    |     ~   |     ~   |K              |   2|   0
137 |BD+57 2379                         |*  |21 43 29.0120508528 +58 24 04.739421960|     ~   |11.83    |10.09    |     ~   |     ~   |K              |   2|   0
138 |HD 207930                          |*  |21 50 46.9341841920 +58 38 05.152996824|     ~   |9.72     |8.63     |     ~   |     ~   |K              |   2|   0
139 |Cl Trumpler 37 1298                |*  |21 39 59.0170719648 +58 45 56.054407320|     ~   |12.11    |10.61    |     ~   |     ~   |K              |   2|   0
140 |Cl Trumpler 37 523                 |*  |21 45 45.1918168056 +57 36 49.830780384|     ~   |12.65    |10.87    |     ~   |     ~   |K              |   2|   0
141 |Cl Trumpler 37 770                 |*  |21 45 29.8539554568 +57 46 51.008380680|     ~   |12.92    |11.11    |     ~   |     ~   |K              |   2|   0
142 |Cl Trumpler 37 1084                |*  |21 48 32.6554866888 +58 43 02.439718032|     ~   |12.56    |11.26    |     ~   |     ~   |K              |   1|   0
