C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='O'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
78  |OH 345.05-01.86                    |pA*|17 12 22.79112 -42 25 10.4340          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  34|   0
79  |IRAS 17089-4135                    |OH*|17 12 28.3619956872 -41 39 20.561980392|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
80  |IRAS 17093-4214                    |OH*|17 12 52.87200 -42 17 36.3084          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
81  |IRAS 17146-4158                    |OH*|17 18 12.3082565782 -42 01 28.941338539|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   8|   0
82  |IRAS 17147-4153                    |AB*|17 18 21.0241763568 -41 57 05.293348560|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
83  |IRAS 17154-4145                    |AB*|17 19 01.0993257936 -41 48 17.942030748|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
84  |IRAS 17186-4208                    |OH*|17 22 14.1088743178 -42 11 20.543396648|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   6|   0
85  |IRAS 17166-4200                    |AB*|17 20 10.1352173688 -42 03 06.486474060|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
86  |IRAS 17168-4146                    |AB*|17 20 19.4640579000 -41 49 55.509924756|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
87  |IRAS 17173-4155                    |AB*|17 20 50.4050315376 -41 58 21.758316456|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
88  |IRAS 17185-4219                    |AB*|17 22 09.2386904640 -42 22 21.015625908|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
89  |IRAS 17194-4203                    |AB*|17 23 01.0750335696 -42 06 16.035692256|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
90  |IRAS 17196-4215                    |AB*|17 23 10.6348224384 -42 18 44.429932116|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
91  |IRAS 17220-4227                    |OH*|17 25 38.14704 -42 30 33.3288          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
92  |IRAS 17227-4239                    |AB*|17 26 17.4470462496 -42 42 29.428423632|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
93  |IRAS 17236-4236                    |AB*|17 27 14.1262956096 -42 38 41.818018308|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
94  |IRAS 17258-4318                    |AB*|17 29 25.4022799608 -43 20 34.446130152|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
95  |IRAS 17262-4314                    |AB*|17 29 52.1553012456 -43 16 32.805308532|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
96  |IRAS 17449-4242                    |OH*|17 48 29.1861002856 -42 43 21.814959252|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   8|   0
97  |IRAS 17467-4256                    |OH*|17 50 20.50488 -42 57 18.4860          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
98  |IRAS 18028-4455                    |OH*|18 06 29.5185290400 -44 55 07.255528536|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
99  |IRAS 16376-4002                    |AB*|16 41 08.4138146688 -40 07 52.159146816|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
100 |IRAS 16369-3810                    |AB*|16 40 18.0850882272 -38 16 34.059717624|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
101 |IRAS 16388-3952                    |AB*|16 42 18.8794107552 -39 58 35.204701116|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
102 |IRAS 16383-3938                    |AB*|16 41 46.7103788952 -39 44 14.440204932|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
103 |IRAS 16391-4013                    |AB*|16 42 36.7237865832 -40 19 06.752345592|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
104 |IRAS 16404-3845                    |AB*|16 43 48.8890558752 -38 50 45.147830352|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
105 |IRAS 16458-3828                    |AB*|16 49 17.4758200392 -38 34 05.659246452|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
106 |IRAS 16418-3957                    |AB*|16 45 17.7924588024 -40 02 54.622136184|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
107 |IRAS 16428-3924                    |AB*|16 46 15.4902965592 -39 30 04.829312124|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
108 |IRAS 16429-4015                    |AB*|16 46 24.7014862896 -40 21 16.957317960|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
109 |IRAS 16456-4006                    |AB*|16 49 04.4407128096 -40 12 06.427963080|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
110 |IRAS 16460-4022                    |OH*|16 49 33.70704 -40 27 37.4256          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  13|   0
