C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:19

sptype='F'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
83  |Cl Trumpler 37 1809                |*  |21 48 01.0833145464 +59 49 31.944939744|     ~   |12.64    |12.18    |     ~   |     ~   |F              |   2|   0
84  |Cl Trumpler 37 1347                |*  |21 47 26.9788177272 +59 04 09.522363720|     ~   |12.67    |12.35    |     ~   |     ~   |F              |   2|   0
85  |Cl Trumpler 37 1357                |*  |21 48 50.2901251512 +58 53 09.929284512|     ~   |12.6     |     ~   |     ~   |     ~   |F              |   1|   0
86  |Cl Trumpler 37 1590                |*  |21 47 55.9403828184 +59 28 45.085268928|     ~   |11.90    |11.61    |     ~   |     ~   |F              |   2|   0
87  |Cl Trumpler 37 1315                |*  |21 42 49.2577729752 +58 54 25.275201408|     ~   |12.80    |12.32    |     ~   |     ~   |F              |   2|   0
88  |Cl Trumpler 37 1525                |*  |21 34 54.9147575304 +59 25 56.989053156|     ~   |12.29    |11.91    |     ~   |     ~   |F              |   2|   0
89  |Cl Trumpler 37 1585                |*  |21 46 59.2993890528 +59 28 35.378644728|     ~   |12.9     |     ~   |     ~   |     ~   |F              |   1|   0
90  |Cl Trumpler 37 1547                |*  |21 41 40.2666380784 +59 14 00.357184140|     ~   |13.0     |     ~   |     ~   |     ~   |F              |   1|   0
91  |Cl Trumpler 37 776                 |*  |21 45 56.2487462016 +57 45 57.109246740|     ~   |12.92    |12.22    |     ~   |     ~   |F              |   2|   0
92  |Cl Trumpler 37 798                 |*  |21 48 52.5205521360 +58 06 32.562229932|     ~   |13.1     |     ~   |     ~   |     ~   |F              |   1|   0
93  |Cl Trumpler 37 508                 |*  |21 43 56.7064313496 +57 35 55.053117996|     ~   |12.31    |11.82    |     ~   |     ~   |F              |   2|   0
94  |Cl Trumpler 37 1030                |*  |21 41 15.8739423264 +58 14 53.675295720|     ~   |12.60    |12.05    |     ~   |     ~   |F              |   4|   0
