,Spectral Class,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(K)
5341,M,0,16.75,15.49,14.97,0,14.5251,11.983,11.158
5342,O,0,0,0,0,0,13.865206,6.859,4.2
5343,M,0,11.88,10.43,0,0,9.685909,7.235,6.205
5344,A,0,9.53,9.18,0,0,9.136878,8.419,8.271
5345,K,0,11.23,9.6,0,0,9.083329,6.941,6.053
5346,K,0,11.16,10.71,0,0,10.771911,9.851,9.643
5347,B,0,11.2,10.98,0,0,11.003708,10.513,10.51
5348,M,0,10.91,9.72,0,0,9.325553,7.588,6.844
5349,O,0,0,0,0,0,10.065462,5.389,3.771
5350,O,0,0,0,0,0,0,0,12.297
5351,G,0,9.74,9.02,0,0,8.827184,7.559,7.067
5352,M,0,17.57,0,15.1,0,15.148945,12.528,11.398
5353,O,0,0,0,0,0,13.60158,7.188,4.673
5354,G,0,11.68,11.35,0,0,11.151305,10.244,10.015
5355,B,12.191,11.24,10.88,0,0,10.735113,10.111,10.037
5356,F,0,10.75,10.48,0,0,10.499752,10.021,9.87
5357,G,0,10.87,9.32,0,0,8.553014,6.05,4.999
5358,G,0,10.0,0,0,0,0,0,0
5359,M,0,0,19.09,0,0,17.905487,15.036,14.092
5360,F,0,18.0,0,18.3,0,18.700672,0,0
5361,M,0,0,0,0,0,0,0,11.88
5362,A,0,8.77,8.65,0,0,8.633829,8.326,8.294
5363,F,0,0,0,0,0,0,0,0
5364,K,0,11.67,10.53,0,0,10.100194,8.27,7.588
5365,F,0,0,15.62,0,0,15.551062,14.735,14.522
5366,G,0,10.69,0,8.5,0,8.743404,7.775,7.458
5367,B,0,11.75,11.45,0,0,11.22797,10.318,10.095
5368,G,0,11.83,11.56,0,0,11.271979,10.199,9.819
5369,A,0,9.6,9.48,0,0,9.487215,9.282,9.275
5370,M,0,11.05,9.69,0,0,9.273832,7.332,6.452
5371,G,0,10.41,10.04,0,0,9.940134,9.2,8.993
5372,O,0,0,0,0,0,17.28,9.742,6.474
5373,A,0,9.07,8.65,0,0,8.532705,7.672,7.463
5374,B,0,11.62,11.31,0,0,11.20806,10.489,10.311
5375,O,0,0,0,0,0,13.472695,5.128,3.222
5376,A,0,11.75,11.25,0,0,11.434488,10.676,10.492
5377,A,0,8.53,8.56,0,0,8.57106,8.579,8.651
5378,M,0,11.325,10.244,0,0,9.858047,8.145,7.469
5379,A,0,9.73,9.44,0,0,9.675154,8.756,8.62
5380,K,0,11.0,9.8,0,0,9.493979,7.888,7.279
5381,F,0,12.19,11.37,11.0,0,11.342127,10.099,9.718
5382,O,0,0,0,0,0,14.624359,9.643,5.812
5383,B,0,17.6,0,16.7,0,17.167677,16.08,15.73
5384,K,0,12.19,10.97,0,0,10.303919,7.935,6.955
5385,O,0,0,0,13.35,9.01,9.931467,3.668,1.355
5386,M,0,17.01,15.95,15.5444,0,15.553308,13.795,13.074
5387,K,0,11.14,10.12,0,0,9.900789,8.45,7.925
5388,O,0,12.58,12.45,0,0,12.548889,12.296,12.274
5389,M,0,11.3,9.4,0,0,9.779146,8.0,7.279
5390,G,0,17.1,0,16.15,0,16.115847,15.24,14.85
5391,K,0,12.41,10.6,0,0,10.097971,7.947,7.076
5392,M,0,10.12,8.43,0,0,7.241887,4.825,3.216
5393,K,0,11.88,10.37,0,0,9.720201,7.3,6.245
5394,G,0,12.07,10.97,0,0,10.431162,8.421,7.59
5395,M,0,16.76,0,14.6,0,14.928165,12.223,11.075
5396,A,0,9.32,9.47,0,0,9.464788,9.851,10.007
5397,A,0,9.53,9.45,0,0,9.376006,9.061,9.042
5398,K,0,11.67,10.47,0,0,10.1457,8.182,7.378
5399,O,0,0,0,13.686,0,14.840404,11.898,10.674
5400,F,0,0,12.7,0,0,12.640976,11.884,11.62
5401,A,0,9.59,9.4,0,0,9.295251,8.759,8.695
5402,B,0,17.5,0,17.1,0,17.269838,0,0
5403,A,0,9.41,9.23,0,0,9.210838,8.82,8.767
5404,F,0,0,13.34,0,0,13.4516,12.418,12.132
5405,M,0,0,0,16.29,0,16.036583,13.845,13.108
5406,A,0,12.14,11.49,0,0,11.498227,10.41,10.183
5407,B,0,0,12.8,0,0,12.67774,11.949,11.762
5408,F,0,10.23,9.85,0,0,9.75545,8.946,8.745
5409,A,0,9.17,9.1,0,0,9.094097,8.823,8.76
5410,O,0,0,0,0,0,10.592086,5.087,3.435
5411,K,0,10.15,8.86,0,0,8.447029,6.582,5.773
5412,A,0,8.51,8.47,0,0,8.431803,8.267,8.218
5413,G,0,11.76,10.59,0,0,10.004404,7.951,7.215
5414,B,11.8,12.09,11.32,0,0,11.053722,9.555,9.22
5415,K,0,12.41,10.4,0,0,9.672334,7.168,6.247
5416,F,0,0,13.66,0,0,13.515906,12.623,12.317
5417,G,0,11.8,10.7,0,0,11.805652,10.973,10.691
5418,F,0,12.34,11.63,0,0,11.418999,10.22,9.894
5419,A,0,11.49,11.1,0,0,10.904901,9.924,9.697
5420,O,0,0,0,0,0,20.552374,12.057,7.124
5421,K,18.74,0,15.54,0,13.59,14.795354,11.851,9.799
5422,O,0,0,0,0,0,10.277936,4.29,2.54
5423,A,0,12.1,11.38,0,0,11.183571,9.73,9.221
5424,B,0,12.36,12.58,0,0,11.977198,11.097,10.785
5425,G,0,0,15.67,0,0,14.743609,12.063,11.168
5426,F,0,11.64,11.41,0,0,11.154122,10.229,10.063
5427,O,0,0,0,0,0,0,15.031,8.956
5428,G,0,0,0,10.2,0,10.174996,9.137,8.752
5429,G,0,10.69,10.37,0,0,10.205838,9.486,9.264
5430,K,0,10.56,9.65,0,0,9.382925,7.934,7.334
5431,M,0,0,0,0,0,0,0,0
5432,B,0,0,12.2,0,0,11.951075,10.996,10.714
5433,K,0,11.67,11.09,0,0,10.899368,9.803,9.41
5434,A,0,10.95,10.58,0,0,10.686919,10.098,9.981
5435,O,0,0,19.609,0,15.26,16.509106,10.92,6.978
5436,K,0,12.02,11.03,0,0,10.810084,9.388,8.778
5437,F,0,0,0,0,0,17.586533,16.614,15.877
5438,O,0,0,0,0,16.96,18.632605,10.876,7.341
5439,F,0,11.37,11.08,0,0,10.834784,9.992,9.721
5440,O,0,13.41,13.09,0,0,13.015391,12.591,12.424
5441,O,0,0,0,0,0,10.249796,4.23,2.402
5442,F,0,0,13.3,0,0,13.206665,12.385,12.133
5443,B,10.45,10.8,10.4,0,0,10.104264,8.862,8.383
5444,M,0,11.73,10.31,0,0,9.755502,7.548,6.719
5445,O,0,0,0,0,0,0,0,11.391
5446,B,0,11.28,10.88,0,0,10.92221,10.28,10.196
5447,A,0,10.97,10.93,0,0,10.853044,10.476,10.409
5448,A,0,10.19,9.8,0,0,9.740647,9.004,8.802
5449,F,0,9.02,8.75,0,0,8.692604,8.171,8.073
5450,B,0,12.67,11.81,0,0,11.273513,9.715,9.371
5451,O,0,0,0,0,0,0,14.648,8.373
5452,O,0,0,0,0,0,16.842491,11.453,8.27
5453,M,0,0,16.61,0,0,15.93432,13.272,12.453
5454,G,0,12.9,0,0,0,12.020995,10.748,10.32
5455,K,0,11.94,10.81,0,0,10.290884,8.492,7.731
5456,M,0,11.94,10.54,0,0,10.098247,8.158,7.332
5457,B,0,12.13,12.13,0,0,12.033023,11.087,10.76
5458,M,0,11.659,10.288,9.986,0,8.072717,4.709,3.404
5459,A,0,9.74,9.35,0,0,9.327276,8.723,8.572
5460,A,0,9.39,9.26,0,0,9.218452,8.797,8.706
5461,B,0,10.62,10.28,0,0,10.178346,9.318,9.143
5462,A,0,9.66,9.23,0,0,9.141256,8.333,8.158
5463,F,0,9.74,9.43,0,0,9.353384,8.722,8.524
5464,F,0,11.6,10.98,0,0,10.793191,9.775,9.415
5465,G,0,12.18,11.54,0,0,11.210951,9.876,9.493
5466,B,0,12.91,12.56,0,0,12.527074,11.253,11.006
5467,A,0,11.6,11.45,0,0,11.274892,10.636,10.529
5468,O,0,0,0,0,0,0,0,9.993
5469,G,0,9.55,9.04,0,0,8.944688,8.102,7.779
5470,A,0,9.05,8.99,0,0,8.943987,8.754,8.79
5471,A,13.785,11.332,10.804,10.749,0,10.688874,9.669,9.453
5472,K,0,12.7,10.9,0,0,10.633175,9.041,8.299
5473,F,0,13.1,0,0,0,12.174203,10.933,10.542
5474,K,0,8.82,7.72,0,0,7.39904,5.741,5.083
5475,K,0,12.07,10.16,0,0,9.683614,7.301,6.271
5476,A,0,10.81,10.48,0,0,10.345483,9.62,9.481
5477,F,0,9.66,9.31,0,0,9.28097,8.607,8.448
5478,B,0,12.29,11.56,0,0,11.554302,10.606,10.342
5479,F,13.48,11.62,10.88,0,0,10.562204,9.347,8.972
5480,B,0,12.8,0,0,0,10.847599,8.579,7.96
5481,F,0,12.14,11.54,11.57,0,11.451785,10.656,10.45
5482,K,0,12.5,11.0,0,0,10.674775,8.902,8.212
5483,O,0,0,0,0,0,16.58892,8.725,5.511
5484,M,0,18.0,0,16.0,0,16.38422,13.834,12.934
5485,K,0,10.54,9.6,0,0,9.255672,7.689,7.052
5486,K,0,10.13,8.67,0,0,8.162565,6.123,5.212
5487,B,0,16.1,0,13.66,0,13.085049,9.912,8.535
5488,O,0,0,0,0,0,18.001368,9.769,6.846
5489,G,0,10.27,9.27,0,0,9.018662,7.538,6.941
5490,F,0,9.63,9.4,0,0,9.398193,9.044,8.941
5491,A,0,12.91,12.06,0,0,12.076489,10.926,10.726
5492,O,0,0,0,0,0,13.117668,6.837,4.296
5493,G,0,11.58,11.16,0,0,10.990479,10.039,9.755
5494,F,0,0,14.19,0,0,14.117469,13.448,13.256
5495,G,0,11.95,11.06,0,0,10.826657,9.209,8.593
5496,O,0,0,0,0,0,15.549456,7.718,4.394
5497,F,0,10.06,9.57,0,0,9.487137,8.637,8.386
5498,A,0,9.03,8.95,0,0,8.930113,8.707,8.704
5499,K,0,10.0,0,0,0,11.953147,10.553,10.03
5500,B,0,0,12.38,12.19,0,12.147615,10.988,10.611
5501,O,0,0,0,0,0,15.719705,9.618,5.284
5502,A,0,12.0,11.8,0,0,11.321555,10.115,9.845
5503,K,0,10.93,9.47,0,0,9.020962,6.966,6.067
5504,O,0,0,0,0,0,14.97975,7.79,4.717
5505,K,0,12.13,10.87,0,0,10.480227,8.733,8.026
5506,G,0,10.28,9.74,0,0,9.59418,8.699,8.386
5507,K,0,12.0,0,0,0,11.20379,9.731,9.138
5508,K,0,10.69,9.66,0,0,9.376083,7.759,7.107
5509,G,0,12.47,11.76,0,0,11.651766,0,0
5510,A,0,0,0,0,0,17.546534,16.332,0
5511,G,0,0,0,0,0,0,0,0
5512,F,0,11.47,10.81,0,0,10.698257,9.666,9.332
5513,G,0,11.54,10.2,0,0,9.654045,7.515,6.629
5514,B,0,12.75,12.45,0,0,12.061689,11.233,10.863
5515,O,0,0,0,0,0,0,0,13.563
5516,B,0,12.05,11.52,0,0,11.810488,11.178,11.094
5517,A,0,9.03,8.79,0,0,9.175737,8.29,8.218
5518,F,0,0,16.17,0,0,16.050379,15.209,14.79
5519,A,0,12.12,11.83,0,0,11.651778,10.885,10.681
5520,F,0,0,0,0,0,14.660183,14.068,13.836
5521,F,0,0,15.8,0,0,15.69047,14.854,14.478
5522,B,0,11.31,10.92,0,0,10.730727,9.744,9.594
5523,A,0,11.95,11.23,0,0,11.126555,9.789,9.401
5524,A,0,9.64,9.42,0,0,0,8.6,8.585
5525,A,0,9.7,9.33,0,0,9.239306,8.385,8.247
5526,M,0,24.7,0,0,0,0,0,0
5527,G,0,12.32,11.66,0,0,11.599196,10.594,10.268
5528,G,0,12.5,11.6,0,0,11.750077,10.917,10.629
5529,B,12.95,13.1,12.44,12.33,0,12.253774,11.089,10.855
5530,M,0,0,0,0,0,9.162362,5.173,3.832
5531,B,0,12.29,11.63,0,0,11.515719,10.187,9.914
5532,B,0,12.07,11.17,10.89,0,10.858122,8.98,8.517
5533,O,0,0,0,0,0,12.229621,7.313,5.305
5534,F,0,11.55,10.96,0,0,10.929845,10.18,9.91
5535,G,0,12.8,0,0,0,11.818035,10.622,10.143
5536,O,0,0,0,0,0,0,11.292,7.185
5537,M,0,11.7,9.96,0,0,8.633704,5.535,4.211
5538,G,0,11.62,11.23,0,0,11.107342,10.047,9.698
5539,A,0,9.9,9.56,0,0,9.530704,8.965,8.937
5540,G,0,12.73,12.02,0,0,11.663331,10.524,10.25
5541,F,0,9.63,9.28,0,0,9.243004,8.732,8.62
5542,K,0,11.17,10.27,9.692,0,9.684693,8.03,7.352
5543,B,11.84,11.6,10.9,0,0,10.705174,9.07,8.756
5544,K,0,11.33,10.33,0,0,10.121017,8.587,7.971
5545,B,0,12.74,12.16,12.15,0,12.036121,11.012,10.825
5546,B,0,0,17.7,0,0,18.037315,0,0
5547,F,0,16.35,15.93,0,0,15.789826,14.94,14.58
5548,K,0,10.39,8.94,0,0,8.447289,6.363,5.54
5549,G,0,0,0,0,0,0,0,0
5550,A,0,12.18,11.57,0,0,11.386069,10.259,10.031
5551,B,0,11.53,10.75,0,0,10.421005,8.754,8.436
5552,M,0,11.91,11.87,0,0,11.454282,10.782,10.581
5553,A,0,9.24,8.94,0,0,8.839377,8.125,7.999
5554,K,0,11.4,10.1,0,0,9.775065,7.997,7.287
5555,M,0,0,0,14.02,0,11.632089,8.002,6.8
5556,A,0,9.03,8.95,0,0,8.904018,8.645,8.657
5557,A,0,10.84,9.18,0,0,8.625635,6.421,5.458
5558,K,0,10.35,9.42,0,0,9.212185,7.722,7.176
5559,K,0,11.1,9.82,0,0,9.620692,7.894,7.215
5560,F,0,9.41,9.04,0,0,8.9042,8.152,7.976
5561,M,0,0,0,0,0,14.603366,12.232,11.138
5562,K,0,10.41,9.23,0,0,8.863713,7.085,6.369
5563,G,0,11.14,10.45,0,0,10.479863,9.05,8.604
5564,K,0,11.54,10.53,0,0,10.292091,8.741,8.133
5565,A,0,11.93,11.62,0,0,11.403288,0,0
5566,K,0,19.0,0,0,0,0,0,0
5567,O,0,0,0,0,0,0,0,9.677
5568,F,0,0,13.53,0,0,13.390218,12.662,12.427
5569,M,0,15.5,0,0,0,14.435113,0,0
5570,M,0,11.45,9.86,0,0,9.452091,0,0
5571,K,0,0,0,0,0,0,0,0
5572,A,0,11.1,10.8,0,0,11.025434,0,0
5573,O,0,0,0,0,0,13.401533,6.433,4.567
5574,M,0,0,0,0,0,13.133286,9.443,8.123
5575,O,0,0,0,0,0,0,13.813,8.218
5576,A,0,12.11,11.56,0,0,11.349186,10.388,10.11
5577,M,0,0,0,15.5,0,14.56496,11.85,10.989
5578,K,0,9.66,8.48,0,0,8.161375,6.473,5.804
5579,O,0,0,0,0,0,14.564832,8.128,5.437
5580,G,0,9.77,9.24,0,0,9.099569,8.14,7.848
5581,G,0,12.07,11.25,0,0,11.205314,9.889,9.45
5582,B,12.25,12.48,11.82,0,0,11.652113,10.442,10.241
5583,B,0,15.5,14.5,0,0,14.859125,13.64,13.424
5584,G,0,10.42,9.94,0,0,0,8.659,8.397
5585,O,0,0,0,0,0,0,15.35,8.977
5586,B,0,11.9,11.2,0,0,11.266972,10.13,9.685
5587,M,0,0,0,0,0,17.666279,14.887,14.105
5588,B,0,12.07,11.55,0,0,11.44769,10.306,10.149
5589,A,0,12.45,12.03,0,0,11.656953,10.835,10.672
5590,O,0,0,0,0,0,0,0,11.643
5591,F,0,9.33,8.94,0,0,8.810576,7.959,7.78
5592,F,0,11.73,11.1,0,0,11.154837,9.919,9.656
5593,O,0,0,0,0,0,0,15.473,9.393
5594,B,0,0,15.7,0,0,16.171297,15.558,15.394
5595,K,0,11.43,11.22,0,0,11.026073,10.245,10.033
5596,B,0,12.88,12.58,0,0,11.410304,9.976,9.556
5597,K,0,12.14,10.61,0,0,10.007672,7.655,6.655
5598,A,0,9.1,8.95,0,0,8.952241,8.658,8.588
5599,A,0,11.41,11.36,0,0,11.185967,10.689,10.558
5600,K,0,10.24,9.13,0,0,8.859868,7.251,6.652
5601,B,0,11.31,11.14,0,0,11.095424,10.75,10.796
5602,M,0,11.91,10.54,0,0,10.108178,7.965,6.99
5603,A,0,9.41,9.12,0,0,9.156995,8.761,8.673
5604,A,0,9.68,9.38,0,0,9.313401,8.684,8.599
5605,M,0,14.26,12.24,11.89,0,10.363566,6.595,5.147
5606,A,0,9.99,9.85,0,0,9.879923,9.565,9.547
5607,A,0,12.8,13.23,0,0,12.349,11.052,10.534
5608,G,0,9.78,9.25,0,0,9.386759,8.157,7.868
5609,F,0,0,14.41,0,0,14.295377,13.37,13.035
5610,A,0,9.71,9.66,0,0,9.652795,9.461,9.393
5611,K,0,12.12,11.21,0,0,10.821646,9.17,8.615
5612,B,0,12.81,12.34,12.34,0,12.219308,11.37,11.25
5613,G,0,10.67,10.08,0,0,9.921791,8.696,8.307
5614,B,0,13.5,0,0,0,12.310998,11.306,11.135
5615,G,0,11.57,11.03,0,0,11.034948,9.999,9.688
5616,K,0,12.41,11.19,0,0,10.87908,9.006,8.243
5617,K,0,9.45,8.47,0,0,8.220702,6.711,6.097
5618,B,0,12.24,11.68,0,0,11.534964,10.187,9.871
5619,B,0,12.7,12.9,0,0,12.752933,12.813,12.897
5620,K,16.778,0,13.89,0,12.1,13.249089,10.81,9.978
5621,A,0,12.13,11.73,0,0,11.546604,10.915,10.768
5622,G,0,12.34,11.551,11.096,10.612,11.499236,9.937,9.534
5623,O,0,0,0,0,0,0,11.18,6.882
5624,G,0,10.41,9.83,0,0,9.677074,8.728,8.372
5625,M,0,0,0,0,0,0,0,0
5626,M,0,0,0,0,0,13.943737,11.083,9.846
5627,F,14.6,14.49,14.13,0,0,14.036799,13.403,13.3
5628,M,0,11.37,10.23,0,0,9.837536,8.072,7.367
5629,B,0,11.91,11.69,0,0,11.171997,9.608,9.278
5630,M,0,12.2,10.3,0,0,12.235811,11.563,11.349
5631,K,0,9.97,8.75,0,0,8.441876,6.755,6.047
5632,G,0,12.98,11.95,11.65,0,11.638069,10.124,9.516
5633,K,0,10.02,0,9.0,0,9.280889,8.249,7.894
5634,O,0,0,0,0,0,12.982549,6.691,4.538
5635,K,0,12.22,10.97,0,0,10.564826,8.916,8.277
5636,B,0,12.43,12.53,0,0,12.042579,10.874,10.372
5637,A,0,11.95,11.67,0,0,11.333418,10.021,9.714
5638,M,0,11.47,9.55,0,0,8.510659,5.824,4.613
5639,O,0,0,0,0,0,20.969734,11.008,6.295
5640,A,0,9.48,9.46,0,0,9.408787,9.24,9.206
5641,O,0,0,0,0,0,9.915009,4.891,3.149
5642,O,0,0,0,0,0,12.010909,6.001,3.92
5643,M,0,0,0,0,16.575,19.718805,13.877,12.116
5644,O,0,0,0,0,0,16.416477,9.052,5.813
5645,A,0,8.75,8.8,0,0,0,8.594,8.733
5646,G,0,11.7,11.37,0,0,11.159061,10.286,10.006
5647,G,0,10.74,10.08,0,0,10.134604,9.196,8.852
5648,F,0,11.52,11.14,0,0,10.950617,10.22,9.995
5649,G,0,13.22,11.84,0,0,11.104504,9.325,8.638
5650,G,0,0,0,8.5,0,8.802822,7.678,7.271
5651,O,0,0,0,0,0,0,18.6,13.579
5652,G,0,11.67,10.82,10.3,0,10.666477,9.502,9.06
5653,M,0,15.17,12.78,12.01,0,10.333743,6.295,4.773
5654,G,0,12.48,12.32,0,0,11.941029,11.04,10.795
5655,M,0,10.682,9.16,0,0,8.443283,6.137,5.102
5656,F,0,17.5,0,0,0,17.181158,16.301,15.767
5657,K,0,11.63,10.57,0,0,10.368588,8.798,8.105
5658,B,0,12.65,11.46,0,0,11.737977,10.178,9.701
5659,F,0,12.03,11.46,0,0,11.360376,10.152,9.787
5660,M,0,12.36,10.29,10.24,0,10.627837,8.082,6.945
5661,A,0,11.78,11.08,0,0,11.069954,10.02,9.768
5662,F,0,18.6,0,18.0,0,18.156752,0,0
5663,M,0,0,0,0,0,13.918127,9.032,7.583
5664,A,0,0,0,0,0,0,0,0
5665,F,0,9.75,9.25,9.31,0,9.157893,8.338,8.096
5666,G,0,12.07,10.79,0,0,10.245565,8.154,7.337
5667,B,0,10.98,10.87,0,0,10.955776,10.779,10.798
5668,F,0,0,15.41,0,0,0,0,0
5669,F,0,9.63,9.2,0,0,9.097823,8.355,8.087
5670,F,0,0,0,20.5,0,20.289991,0,20.9
5671,M,0,0,0,0,0,0,13.138,12.286
5672,K,0,18.527,17.139,0,14.263,15.845965,0,0
5673,M,0,12.26,10.73,0,0,9.553968,6.629,5.457
5674,B,0,10.56,10.18,0,0,10.014465,8.933,8.763
5675,O,0,0,0,0,0,13.407485,7.315,5.314
5676,G,0,0,7.3,0,0,7.230734,0,0
5677,F,0,19.0,0,0,0,0,0,0
5678,B,0,11.25,10.53,0,0,10.047432,8.506,8.175
5679,K,0,11.6,10.38,0,0,9.882775,7.879,7.104
5680,G,0,11.26,10.68,0,0,10.595527,9.583,9.231
5681,A,0,8.62,8.32,0,0,8.282167,7.738,7.577
5682,A,13.796,13.773,13.035,0,11.963,12.699286,11.19,10.832
5683,K,0,10.32,9.16,8.7,0,8.915902,7.255,6.63
5684,O,0,0,0,0,0,18.07708,7.629,4.686
5685,O,0,0,0,0,0,0,0,10.105
5686,O,0,0,0,0,0,18.737583,9.56,4.865
5687,F,0,11.17,11.14,0,0,11.092428,10.931,10.884
5688,G,0,10.46,9.89,0,0,9.632,8.544,8.325
5689,K,0,10.68,9.59,0,0,9.278437,7.612,6.974
5690,A,0,9.61,9.3,0,0,9.246157,8.573,8.467
5691,K,0,10.94,9.34,0,0,8.425351,5.786,4.733
5692,A,0,11.97,11.56,0,0,11.518404,10.684,10.514
5693,K,0,10.14,8.93,0,0,8.596835,6.894,6.146
5694,G,0,10.4,9.8,0,0,9.623971,0,0
5695,O,0,0,0,0,0,11.291213,5.676,3.793
5696,F,0,0,14.2,0,0,14.0739,13.139,12.819
5697,G,0,10.4,9.9,0,0,9.739438,8.79,8.479
5698,B,0,9.27,8.98,0,0,8.85221,8.114,8.019
5699,G,0,9.11,8.65,0,0,8.515779,7.709,7.435
5700,A,0,11.58,11.47,0,0,11.204133,10.423,10.23
5701,G,0,10.85,9.71,0,0,9.418318,7.737,7.089
5702,O,0,0,0,0,0,14.010716,7.38,5.021
5703,O,0,0,0,0,0,0,12.466,6.657
5704,A,0,9.77,9.56,0,0,9.534869,9.103,8.968
5705,B,13.622,11.2,10.69,0,0,10.548208,9.287,9.017
5706,B,0,11.6,11.24,0,0,11.077916,10.384,10.224
5707,F,0,11.82,11.79,0,0,11.434792,10.88,10.685
5708,G,0,9.94,9.45,0,0,9.338084,8.488,8.207
5709,K,0,12.52,10.87,0,0,10.71592,8.847,8.181
5710,G,0,0,0,0,0,15.02594,13.963,13.702
5711,G,0,9.79,9.21,0,0,9.080589,8.118,7.829
5712,M,0,0,0,0,0,0,0,0
5713,O,0,0,0,0,0,0,13.28,7.805
5714,G,0,10.21,9.79,9.809,0,9.709456,8.968,8.749
5715,F,0,12.6,0,0,0,11.605042,10.405,10.009
5716,G,0,10.95,10.36,0,0,10.297679,9.455,9.166
5717,B,0,11.38,10.32,0,0,9.674435,7.372,5.655
5718,M,0,14.73,13.38,0,0,0,0,0
5719,F,0,11.86,11.58,0,0,11.022871,10.022,9.762
5720,G,0,12.0,11.69,0,0,11.316863,10.083,9.661
5721,M,0,15.02,13.427,13.164,0,12.444555,9.985,9.163
5722,B,0,9.8,9.63,0,0,9.595504,9.226,9.218
5723,A,0,11.64,11.56,0,0,11.361346,10.774,10.662
5724,K,0,11.98,10.21,0,0,9.198793,6.458,5.301
5725,A,0,0,15.0,0,0,14.965257,14.314,14.0
5726,G,0,11.1,10.2,0,0,9.925146,8.377,7.813
5727,M,0,17.57,0,14.99,0,15.093785,12.566,11.364
5728,K,0,12.52,10.59,0,0,10.111588,0,0
5729,A,0,11.8,11.75,0,0,11.544036,11.165,11.076
5730,A,0,9.01,9.03,0,0,9.017233,9.007,9.049
5731,F,0,12.77,11.87,0,0,11.603946,10.131,9.774
5732,G,0,10.97,10.18,0,0,10.068493,9.001,8.613
5733,B,0,11.27,10.74,0,0,10.925262,10.023,9.871
5734,O,0,0,0,0,0,18.780825,11.407,7.602
5735,O,0,0,0,0,0,17.045893,10.176,6.135
5736,K,0,12.15,10.13,0,0,9.536585,6.95,5.842
5737,G,0,10.4,9.8,0,0,9.687535,8.746,8.403
5738,G,0,11.71,10.59,0,0,10.503475,8.975,8.363
5739,G,0,12.15,11.66,0,0,11.325003,10.193,9.798
5740,O,0,0,0,0,0,19.80179,11.391,6.132
5741,K,0,10.52,9.56,0,0,9.246,7.816,7.291
5742,F,0,13.1,0,0,0,11.992251,10.877,10.542
5743,F,0,9.42,9.21,0,0,9.086078,8.557,8.41
5744,K,0,11.49,10.22,0,0,9.733918,7.773,7.118
5745,G,0,12.11,10.16,0,0,9.033052,6.089,4.916
5746,A,0,9.49,9.42,0,0,9.412044,9.197,9.156
5747,M,0,10.0,0,0,0,0,0,0
5748,G,0,10.13,9.21,0,0,8.970273,7.491,6.927
5749,A,0,12.25,12.12,0,0,11.690932,10.602,10.356
5750,O,0,0,0,0,0,17.939722,10.75,6.484
5751,F,0,10.0,0,0,0,11.976737,10.778,10.535
5752,K,0,11.43,10.4,0,0,10.153245,8.686,8.074
5753,A,0,11.95,11.45,0,0,11.482327,10.332,10.05
5754,M,0,12.24,10.62,0,0,9.4637,6.651,5.501
5755,F,0,13.2,13.01,0,0,11.329141,10.227,9.865
5756,K,0,11.46,9.94,0,0,9.460925,7.494,6.676
5757,M,0,12.26,11.11,10.71,0,10.649756,8.477,7.676
5758,F,0,17.8,0,17.3,0,17.528078,16.53,0
5759,O,0,0,0,0,0,16.89663,8.821,5.712
5760,B,0,11.0,10.7,0,0,10.477874,9.678,9.536
5761,K,0,11.87,11.58,0,0,11.559341,10.467,10.165
5762,G,0,0,0,0,0,0,0,0
5763,B,0,13.0,0,0,0,12.766561,12.27,12.248
5764,M,0,17.0,15.5,0,0,13.461607,10.036,8.728
5765,O,0,0,0,0,0,0,15.753,9.33
5766,B,0,11.63,11.27,0,0,11.233079,10.101,9.52
5767,M,0,16.88,0,14.84,0,0,12.35,11.222
5768,G,0,10.11,9.67,0,0,9.585374,8.783,8.586
5769,O,0,0,0,0,0,18.569609,11.544,7.143
5770,A,0,11.93,11.42,0,0,11.277093,10.292,10.064
5771,M,0,0,0,0,0,17.175179,14.718,14.081
5772,O,0,0,0,0,0,15.070783,8.22,5.339
5773,K,0,10.38,8.93,0,0,8.540575,6.548,5.646
5774,B,12.73,12.99,12.2,0,0,11.969895,10.501,10.202
5775,B,0,13.1,12.42,12.51,0,12.284633,11.315,11.172
5776,M,0,12.11,10.79,0,0,9.346686,6.234,5.039
5777,B,0,10.54,10.04,0,0,9.917783,0,0
5778,O,0,0,0,0,0,17.57639,11.401,7.597
5779,A,0,9.48,9.39,0,0,9.332667,9.008,8.979
5780,K,0,12.56,11.02,0,0,10.454541,8.351,7.568
5781,B,0,11.44,10.92,0,0,10.542191,9.181,8.849
5782,A,0,11.56,11.51,0,0,11.440717,10.89,10.792
5783,F,0,9.53,9.25,0,0,9.227394,0,0
5784,B,0,10.28,9.91,0,0,9.881056,9.004,8.828
5785,O,0,0,0,0,0,16.271801,8.315,5.332
5786,B,11.86,12.15,11.71,0,0,11.574929,10.778,10.624
5787,O,0,0,0,0,0,0,0,0
5788,M,0,14.0,12.0,0,0,10.250743,6.482,5.125
5789,F,0,0,15.45,0,0,15.285616,14.243,13.876
5790,A,0,8.85,8.79,0,0,8.824371,8.651,8.697
5791,K,0,10.377,9.346,9.153,0,8.990805,7.241,6.593
5792,A,0,13.0,0,0,0,12.204949,11.085,10.804
5793,G,0,12.15,11.0,0,0,10.617992,8.96,8.324
5794,M,0,12.73,10.51,0,0,9.291759,6.042,4.73
5795,A,0,9.56,9.44,0,0,9.448744,9.214,9.134
