,Spectral Class,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(K)
250,O,0,0,0,0,0,13.42621,7.486,5.435
251,K,0,10.8,9.35,0,0,8.798254,6.677,5.732
252,A,0,12.28,11.46,11.84,0,11.77789,10.96,10.816
253,B,0,11.02,10.67,0,0,10.551042,9.861,9.743
254,G,0,10.92,10.43,0,0,10.288133,9.529,9.233
255,O,0,0,0,0,0,11.610387,5.51,2.837
256,M,0,15.87,14.2,13.95,0,13.992551,10.95,10.161
257,F,0,12.01,11.62,0,0,11.233229,10.282,9.996
258,K,0,10.03,9.04,0,0,8.793659,7.296,6.724
259,G,0,9.75,9.19,0,0,9.065627,8.144,7.849
260,A,0,10.03,9.75,0,0,9.73014,9.255,9.148
261,O,0,0,0,0,0,0,11.393,6.387
262,A,0,11.21,11.12,0,0,10.982492,10.646,10.618
263,F,0,9.98,9.47,0,0,9.290794,8.367,8.106
264,G,0,12.15,11.37,0,0,11.314837,10.246,9.864
265,K,0,11.45,10.46,0,0,10.03566,8.35,7.667
266,F,0,11.38,10.864,0,0,10.784443,9.981,9.711
267,F,0,0,14.32,0,0,14.344857,13.357,13.02
268,F,0,13.5,0,0,0,13.472288,12.686,12.439
269,K,0,10.76,9.51,0,0,9.19169,7.477,6.795
270,O,0,0,0,0,0,0,0,8.427
271,F,0,0,14.65,0,0,14.495414,13.731,13.465
272,O,0,0,0,0,0,0,0,0
273,B,11.54,11.6,11.1,0,0,11.149312,10.048,9.821
274,O,0,0,0,0,0,15.065924,10.239,6.619
275,A,0,11.64,10.09,0,0,9.385254,6.901,5.873
276,A,0,10.7,10.34,0,0,10.232699,9.482,9.305
277,O,0,0,0,0,0,10.72829,5.237,3.43
278,G,0,11.43,10.94,0,0,10.761081,9.865,9.576
279,M,0,17.27,0,15.2,0,14.996437,12.125,10.955
280,A,0,11.01,10.55,0,0,10.259393,9.166,8.914
281,G,0,12.25,11.6,0,0,11.401035,10.023,9.656
282,M,0,0,0,0,0,0,0,0
283,O,0,0,0,0,0,11.978558,6.648,4.671
284,O,0,0,0,0,0,17.490238,7.188,2.811
285,A,0,10.0,0,0,0,11.950556,11.357,11.182
286,B,16.63,16.0,14.05,0,0,0,0,0
287,O,0,0,0,0,0,11.517076,5.285,3.12
288,M,0,0,13.93,0,0,14.021281,13.132,12.811
289,K,0,10.96,10.56,0,0,10.365262,9.415,9.086
290,O,0,0,0,0,0,16.758364,7.761,4.612
291,M,0,0,0,13.74,0,11.729758,7.621,5.982
292,F,0,0,0,0,0,0,0,0
293,B,10.77,11.38,11.06,0,0,10.878564,10.223,10.166
294,M,0,15.74,13.58,12.5,0,11.611136,8.13,6.588
295,A,0,12.48,11.12,0,0,11.36307,10.017,9.719
296,F,0,11.03,10.6,0,0,10.582584,9.926,9.699
297,G,0,11.52,11.11,0,0,10.781047,9.656,9.236
298,K,0,11.18,10.13,0,0,9.905659,8.366,7.79
299,G,0,10.21,9.62,0,0,9.49649,8.557,8.297
300,A,0,11.02,10.56,0,0,10.504368,9.695,9.467
301,K,0,9.5,8.44,0,0,8.183851,6.645,6.069
302,K,19.019,0,15.3,0,13.27,14.47055,11.807,10.832
303,A,0,9.69,9.55,0,0,9.494617,9.097,9.041
304,A,0,9.67,9.5,0,0,9.513921,9.282,9.223
305,O,0,0,0,0,0,19.77365,11.61,7.827
306,K,0,10.24,8.97,0,0,8.614665,6.827,6.066
307,G,0,9.52,8.97,0,0,8.876541,7.99,7.741
308,B,0,12.01,11.32,0,0,11.144328,9.936,9.739
309,M,0,17.64,0,15.06,0,15.04024,12.247,11.076
310,K,0,11.2,10.19,0,0,9.89654,8.35,7.723
311,G,0,9.64,9.27,0,0,9.180606,8.549,8.316
312,F,0,12.9,0,0,0,11.93319,10.718,10.37
313,G,0,9.45,8.9,0,0,8.812318,7.923,7.63
314,F,0,10.82,10.4,0,0,10.44327,9.758,9.524
315,K,0,0,0,0,0,0,0,0
316,O,0,0,0,0,0,19.952873,10.513,5.859
317,F,0,0,14.19,0,0,14.071807,13.2,12.935
318,K,0,10.28,9.22,0,0,8.988543,7.467,6.864
319,M,0,10.9,9.98,0,0,9.668597,8.2,7.578
320,A,0,8.9,8.82,0,0,8.757067,8.483,8.419
321,K,0,11.44,10.68,0,0,10.442847,9.233,8.761
322,O,0,0,0,0,0,0,0,10.062
323,G,0,12.12,11.52,0,0,11.250402,10.293,10.01
324,M,0,19.55,0,0,0,17.438822,15.108,14.17
325,G,0,10.31,8.99,0,0,8.593164,6.67,5.92
326,K,0,11.62,9.84,0,0,8.931452,6.176,4.985
327,O,0,0,0,0,0,18.156431,10.372,5.812
328,M,0,0,22.03,0,0,0,0,0
329,A,13.0,12.17,12.44,0,0,12.268286,11.565,11.357
330,F,0,11.86,11.81,0,0,11.5532,10.515,10.19
331,A,0,9.2,9.03,0,0,8.980686,8.509,8.429
332,O,0,0,0,0,0,0,0,9.91
333,F,0,0,13.67,0,0,13.534866,12.639,12.364
334,K,0,11.7,9.65,0,0,8.357096,5.3,4.022
335,M,0,0,19.7,0,0,18.396671,15.651,14.676
336,K,0,11.67,10.38,0,0,9.825226,7.721,6.953
337,M,0,0,0,0,0,12.331827,8.25,6.17
338,K,0,0,0,0,0,0,0,0
339,B,12.67,12.6,11.68,0,0,11.534575,9.97,9.573
340,K,0,9.62,8.55,0,0,8.245565,6.602,5.99
341,B,0,10.07,9.93,0,0,9.808816,9.526,9.382
342,M,0,12.44,10.905,10.442,0,10.33069,8.102,7.134
343,F,0,10.89,10.29,0,0,10.161163,9.244,8.889
344,G,0,11.45,10.82,0,0,10.692506,9.665,9.343
345,A,0,11.95,11.5,0,0,11.59703,10.993,10.822
346,B,0,0,16.0,0,0,13.310169,11.273,10.638
347,O,0,0,0,0,0,13.844905,7.14,5.065
348,A,0,0,0,0,0,17.020231,16.226,0
349,K,0,12.31,11.37,0,0,11.101726,9.547,8.897
350,G,0,9.73,9.26,0,0,9.173733,0,0
351,F,0,0,15.48,0,0,15.341755,14.499,14.241
352,B,0,11.8,11.03,0,0,10.808047,9.325,8.961
353,B,0,0,12.67,0,0,12.517113,11.455,11.275
354,F,9.56,9.43,9.19,0,0,9.170898,8.687,8.583
355,B,0,11.51,10.84,0,0,10.274377,8.486,8.089
356,K,0,11.01,9.98,0,0,9.691704,8.213,7.614
357,A,0,9.5,9.16,0,0,9.163337,8.392,8.256
358,M,0,11.1,9.23,0,0,7.76406,5.054,3.531
359,M,0,15.87,13.42,12.57,0,10.656094,6.488,4.895
360,A,0,12.04,11.42,0,0,11.632301,10.831,10.69
361,G,0,12.15,11.32,0,0,11.10975,9.74,9.33
362,B,11.88,12.34,12.16,0,0,12.115062,11.763,11.781
363,M,0,12.03,10.5,0,0,9.669683,7.042,5.893
364,F,0,9.86,9.41,0,0,9.376523,8.68,8.466
365,M,0,9.95,8.15,0,0,7.20551,4.758,3.436
366,F,0,11.59,10.98,0,0,11.090783,10.368,10.161
367,B,0,0,12.8,0,0,12.666851,11.318,11.024
368,A,0,8.2,14.4,0,0,13.802786,11.853,11.021
369,M,13.001,11.68,10.48,9.61,8.923,9.876864,7.967,7.18
370,K,0,9.81,8.73,0,0,8.426682,6.816,6.162
371,M,0,16.3,16.1,13.9,0,13.084418,9.817,8.509
372,F,0,0,15.42,0,0,15.292576,14.442,14.132
373,B,0,12.85,10.48,0,0,9.544341,6.738,5.598
374,A,0,10.38,10.02,0,0,9.918619,9.315,9.127
375,K,0,11.88,10.13,0,0,9.47726,7.124,6.165
376,F,0,10.13,9.9,0,0,9.850194,9.364,9.222
377,G,0,0,0,0,0,0,0,0
378,M,0,12.09,10.7,10.08,0,9.834927,7.289,6.181
379,B,0,11.93,11.27,0,0,11.13854,9.323,8.841
380,F,0,9.97,9.54,0,0,9.463777,8.718,8.54
381,K,0,11.96,10.84,0,0,10.667111,9.113,8.452
382,A,0,9.13,9.07,0,0,9.043871,8.875,8.857
383,G,0,17.0,0,0,0,15.86974,14.882,14.562
384,A,0,9.2,9.16,0,0,9.11969,8.942,9.025
385,G,0,12.77,11.75,0,0,12.126969,11.05,10.642
386,M,0,12.01,11.25,10.95,0,10.876648,9.183,8.443
387,F,0,0,13.1,0,0,12.987508,12.164,11.841
388,F,0,12.39,11.83,0,0,12.026541,11.391,11.219
389,F,0,0,12.69,0,0,12.485106,11.491,11.122
390,B,12.65,12.88,12.31,12.22,0,12.148781,11.056,10.796
391,K,0,12.09,11.25,0,0,11.261187,10.102,9.61
392,K,0,17.3,0,0,0,0,0,0
393,F,0,0,0,0,0,17.142845,16.219,0
394,M,0,9.94,8.46,0,0,6.883569,3.865,2.506
395,G,0,11.29,10.72,0,0,10.787271,9.914,9.611
396,F,0,0,15.86,0,0,15.749548,14.81,14.401
397,M,0,0,11.5,0,0,10.539612,6.979,5.759
398,F,0,0,14.36,0,0,14.229354,13.33,13.014
399,M,0,17.23,0,14.54,0,14.723597,11.957,10.779
400,F,0,0,13.85,0,0,13.72553,12.845,12.547
401,A,0,9.79,9.86,0,0,9.895209,10.176,10.303
402,O,0,0,0,0,0,0,14.984,0
403,F,0,0,14.17,0,0,14.068227,13.371,13.104
404,K,0,11.36,10.0,0,0,9.502638,7.365,6.427
405,M,0,0,0,0,0,16.934515,13.794,12.901
406,O,0,0,0,0,0,19.044617,14.608,11.532
407,B,0,12.21,11.83,11.87,0,11.75669,10.916,10.819
